seed,method,L_per_pair,shared_directions,triangle_slack,theorem_test
0,evar,1,False,-0.30574375266041504,False
0,cvar,1,False,-0.30574375266041504,False
1,evar,1,False,-1.9433142374927619,False
1,cvar,1,False,-1.9433142374927619,False
2,evar,1,False,-1.416210396376831,False
2,cvar,1,False,-1.416210396376831,False
3,evar,1,False,-0.8181103458252825,False
3,cvar,1,False,-0.8181103458252825,False
4,evar,1,False,-0.8239761461128499,False
4,cvar,1,False,-0.8239761461128499,False
5,evar,1,False,-0.2926245628248026,False
5,cvar,1,False,-0.2926245628248026,False
6,evar,1,False,-0.17281558758906795,False
6,cvar,1,False,-0.17281558758906795,False
7,evar,1,False,-1.4440771808290491,False
7,cvar,1,False,-1.4440771808290491,False
8,evar,1,False,-1.1722318932144424,False
8,cvar,1,False,-1.1722318932144424,False
9,evar,1,False,-0.7911568902224952,False
9,cvar,1,False,-0.7911568902224952,False
10,evar,1,False,-1.3110266823687318,False
10,cvar,1,False,-1.3110266823687318,False
11,evar,1,False,-1.2587330659092109,False
11,cvar,1,False,-1.2587330659092109,False
12,evar,1,False,-0.924059147660261,False
12,cvar,1,False,-0.924059147660261,False
13,evar,1,False,-0.5359586462578856,False
13,cvar,1,False,-0.5359586462578856,False
14,evar,1,False,-0.7671813418923592,False
14,cvar,1,False,-0.7671813418923592,False
15,evar,1,False,-1.5470388791349299,False
15,cvar,1,False,-1.5470388791349299,False
16,evar,1,False,-1.015618030320991,False
16,cvar,1,False,-1.015618030320991,False
17,evar,1,False,-1.7977473379038431,False
17,cvar,1,False,-1.7977473379038431,False
18,evar,1,False,-0.9715747551849954,False
18,cvar,1,False,-0.9715747551849954,False
19,evar,1,False,-0.9826874130745457,False
19,cvar,1,False,-0.9826874130745457,False
20,evar,1,False,-0.8404433663924097,False
20,cvar,1,False,-0.8404433663924097,False
21,evar,1,False,-0.8462405623498254,False
21,cvar,1,False,-0.8462405623498254,False
22,evar,1,False,-0.6505756886765319,False
22,cvar,1,False,-0.6505756886765319,False
23,evar,1,False,-1.163303813370763,False
23,cvar,1,False,-1.163303813370763,False
24,evar,1,False,-0.38567545145921267,False
24,cvar,1,False,-0.38567545145921267,False
25,evar,1,False,-0.8336598464451033,False
25,cvar,1,False,-0.8336598464451033,False
26,evar,1,False,-0.8539446630912723,False
26,cvar,1,False,-0.8539446630912723,False
27,evar,1,False,-0.30399426243410144,False
27,cvar,1,False,-0.30399426243410144,False
28,evar,1,False,-0.7355571431978782,False
28,cvar,1,False,-0.7355571431978782,False
29,evar,1,False,-1.0807832498452936,False
29,cvar,1,False,-1.0807832498452936,False
30,evar,1,False,-1.8906625053200794,False
30,cvar,1,False,-1.8906625053200794,False
31,evar,1,False,-1.1322900489353105,False
31,cvar,1,False,-1.1322900489353105,False
32,evar,1,False,-1.785328690830394,False
32,cvar,1,False,-1.785328690830394,False
33,evar,1,False,-0.9583244807416345,False
33,cvar,1,False,-0.9583244807416345,False
34,evar,1,False,-1.1495037315488679,False
34,cvar,1,False,-1.1495037315488679,False
35,evar,1,False,-0.510349660906964,False
35,cvar,1,False,-0.510349660906964,False
36,evar,1,False,-1.0280391699925546,False
36,cvar,1,False,-1.0280391699925546,False
37,evar,1,False,-1.5680211644688025,False
37,cvar,1,False,-1.5680211644688025,False
38,evar,1,False,-0.7522068133888739,False
38,cvar,1,False,-0.7522068133888739,False
39,evar,1,False,-0.10868941239056462,False
39,cvar,1,False,-0.10868941239056462,False
40,evar,1,False,-1.586425849420929,False
40,cvar,1,False,-1.586425849420929,False
41,evar,1,False,-1.6430219116931126,False
41,cvar,1,False,-1.6430219116931126,False
42,evar,1,False,-0.9707530151689469,False
42,cvar,1,False,-0.9707530151689469,False
43,evar,1,False,-0.7362041960349348,False
43,cvar,1,False,-0.7362041960349348,False
44,evar,1,False,-0.22945809133497208,False
44,cvar,1,False,-0.22945809133497208,False
45,evar,1,False,-1.0069221705970326,False
45,cvar,1,False,-1.0069221705970326,False
46,evar,1,False,-0.9195351059681088,False
46,cvar,1,False,-0.9195351059681088,False
47,evar,1,False,-0.8507319903458614,False
47,cvar,1,False,-0.8507319903458614,False
48,evar,1,False,-1.0208546452521499,False
48,cvar,1,False,-1.0208546452521499,False
49,evar,1,False,-0.5030944634403103,False
49,cvar,1,False,-0.5030944634403103,False
50,evar,1,False,-1.6098525378728366,False
