q,L,repeat,method,estimate,own_metric_reference,error
16,20,0,sw,0.3693596540000797,0.3315254891038292,0.03783416489625052
16,20,0,ebsw_exp,0.4679681452640785,0.3764519859695811,0.09151615929449736
16,20,0,power_ebsw,0.566809597706215,0.46045034772148125,0.10635924998473373
16,20,0,entropic,0.41431221322919415,0.3521125831997691,0.062199630029425024
16,20,0,evar,0.598109014076896,0.5168421624452488,0.08126685163164715
16,20,0,cvar,0.6008195679147796,0.5242524329003955,0.07656713501438417
16,20,0,sampled_max,0.8720473196921007,1.1472011535764581,-0.27515383388435743
16,20,1,sw,0.34290363389445633,0.3315254891038292,0.011378144790627154
16,20,1,ebsw_exp,0.3778140050857709,0.3764519859695811,0.0013620191161897721
16,20,1,power_ebsw,0.45853818321477513,0.46045034772148125,-0.0019121645067061155
16,20,1,entropic,0.36000027582761673,0.3521125831997691,0.007887692627847609
16,20,1,evar,0.4891760934907538,0.5168421624452488,-0.027666068954495027
16,20,1,cvar,0.5577147675959534,0.5242524329003955,0.03346233469555793
16,20,1,sampled_max,0.6228205042341264,1.1472011535764581,-0.5243806493423318
16,20,2,sw,0.34948335446508044,0.3315254891038292,0.01795786536125127
16,20,2,ebsw_exp,0.37776642269823046,0.3764519859695811,0.0013144367286493375
16,20,2,power_ebsw,0.44547249554171997,0.46045034772148125,-0.014977852179761275
16,20,2,entropic,0.3634656024662763,0.3521125831997691,0.01135301926650717
16,20,2,evar,0.4793643363977578,0.5168421624452488,-0.03747782604749106
16,20,2,cvar,0.5382219109969247,0.5242524329003955,0.013969478096529264
16,20,2,sampled_max,0.5908418219568451,1.1472011535764581,-0.556359331619613
16,20,3,sw,0.3137208259238509,0.3315254891038292,-0.017804663179978253
16,20,3,ebsw_exp,0.3612534010762067,0.3764519859695811,-0.015198584893374445
16,20,3,power_ebsw,0.47548855851944505,0.46045034772148125,0.015038210797963802
16,20,3,entropic,0.3365294574719563,0.3521125831997691,-0.015583125727812841
16,20,3,evar,0.4908271219553237,0.5168421624452488,-0.026015040489925145
16,20,3,cvar,0.5303788645165413,0.5242524329003955,0.006126431616145789
16,20,3,sampled_max,0.6534386137607822,1.1472011535764581,-0.49376253981567597
16,20,4,sw,0.3781524826297584,0.3315254891038292,0.04662699352592925
16,20,4,ebsw_exp,0.4320178814433857,0.3764519859695811,0.05556589547380458
16,20,4,power_ebsw,0.5128379378158353,0.46045034772148125,0.052387590094354064
16,20,4,entropic,0.4039637773029146,0.3521125831997691,0.05185119410314548
16,20,4,evar,0.5526862376891654,0.5168421624452488,0.03584407524391653
16,20,4,cvar,0.5904664245593537,0.5242524329003955,0.06621399165895825
16,20,4,sampled_max,0.7436980079001372,1.1472011535764581,-0.40350314567632095
16,20,5,sw,0.3297389155800461,0.3315254891038292,-0.001786573523783086
16,20,5,ebsw_exp,0.35602444000650263,0.3764519859695811,-0.020427545963078497
16,20,5,power_ebsw,0.42459894543933274,0.46045034772148125,-0.0358514022821485
16,20,5,entropic,0.34251563008913477,0.3521125831997691,-0.009596953110634354
