dataset,control,method,family,L,lew_reduction_pct_100,lew_reduction_pct_250,lew_reduction_pct_500,relative_lew_auc,paired_auc_diff_vs_spdsw_l40,paired_lew500_diff_vs_spdsw_l40,epoch_reach_spdsw_l500_final,wall_reach_spdsw_l500_final,optimization_seconds,aggregation_ms_per_epoch,divergence_count,nan_count
Schirrmeister2017,common_lr10000,cvar_a0p1,cvar,40,-2.5891818882896684e+16,-8.701859654369132e+39,-1.548556906745418e+79,3.872438309270579e+75,3.872438309270579e+75,1.5403840819630606e+79,,,1.3422096395968564,0.33751724158512186,9,0
Schirrmeister2017,common_lr10000,cvar_a0p2,cvar,40,-2541384.950802818,-649106090673188.9,-1.5959299541894163e+29,4.311614012416162e+25,4.311614012416162e+25,1.5875071084911473e+29,,,1.348586111743417,0.33979892177088367,9,0
Schirrmeister2017,common_lr10000,cvar_a0p5,cvar,40,-13.334795480488863,-223.38261511635778,-12320.348562736566,16.53316382372514,15.674283004631203,12291.068266842618,,,1.3475805607676092,0.33750686334027186,3,0
Schirrmeister2017,common_lr10000,ebsw_exp_default_b1,ebsw_exp,40,7.228762507027824,15.312706376988565,23.74253472680091,0.8585973076116993,-0.0002835114822377453,-0.23178067934485272,,,1.3365410412403032,0.2622380179042115,3,0
Schirrmeister2017,common_lr10000,ebsw_exp_scale_b485p67098,ebsw_exp,40,-7.09001384579041e+57,-6.96461141407522e+142,-2.0701782584728104e+287,5.1754456461820946e+283,5.1754456461820946e+283,2.0592524706628534e+287,,,1.326613654356657,0.25330598238436675,9,0
Schirrmeister2017,common_lr10000,evar_k0p1,evar,40,-21.662536741757478,-513.0074481293545,-59117.36336422645,65.43894663037436,64.58006581128043,58844.61593238048,,,2.107450019387114,1.7600724988926943,3,0
Schirrmeister2017,common_lr10000,evar_k0p5,evar,40,-4336679.838959172,-4768877078445029.0,-3.664677636505335e+30,1.0018426414577914e+27,1.0018426414577914e+27,3.645336553154431e+30,,,2.2651870930049984,1.9901277431700288,9,0
Schirrmeister2017,common_lr10000,evar_k1p0,evar,40,-302474661325208.25,-1.328709225618304e+35,-7.784335736847486e+68,1.9471476427094546e+65,1.9471476427094546e+65,7.743252317990114e+68,,,2.284874036649449,2.004344721169472,9,0
Schirrmeister2017,common_lr10000,evar_k2p0,evar,40,-1.895967872422224e+29,-1.4138675948676285e+73,-1.9473219293702976e+145,4.868305217977438e+141,4.868305217977438e+141,1.937044540884114e+145,,,2.304421989686994,2.0232928370435532,9,0
Schirrmeister2017,common_lr10000,sampled_max_l40,sampled_max,40,-8.989110962253855e+57,-9.268549606418714e+142,-1.6102524831407863e+287,4.025631207852018e+283,4.025631207852018e+283,1.601754047376017e+287,,,1.2837732040012877,0.14594970074373803,9,0
Schirrmeister2017,common_lr10000,spdsw_l40,sw,40,7.188812644974629,15.284704031758022,23.701762222344584,0.858880819093937,0.0,0.0,,,1.248132352096339,0.18000596694436308,3,0
Schirrmeister2017,common_lr10000,spdsw_l500,sw,500,12.978861108772243,22.846313779055755,31.125369748010648,0.7931147049866447,-0.06576611410729229,-22.101492778195205,500.0,6.509360779206165,6.509360779206165,0.234527554932104,0,0
Schirrmeister2017,lr3000,cvar_a0p5,cvar,40,5.755685380283551,12.008398615730705,18.688162871488515,0.8886491884960127,-0.022570263017438943,-12.098367037394915,,,1.3444060965234206,0.33847885030420305,0,0
Schirrmeister2017,lr3000,ebsw_exp_default_b1,ebsw_exp,40,4.5244732092845785,9.86252948968537,16.211652463742016,0.9071826047744241,-0.0040368467390274766,-2.649790534090286,,,1.3427101068923042,0.2625526575785046,0,0
Schirrmeister2017,lr3000,evar_k0p1,evar,40,5.2180775314098815,11.18883137640264,17.816631897507587,0.895768054394872,-0.015451397118579716,-9.115061836647563,,,2.1415490214971618,1.7870977647705537,0,0
Schirrmeister2017,lr3000,sampled_max_l40,sampled_max,40,-4592440388.311263,-8.290197078455942e+22,-6.1605857081243425e+44,1.562908237450824e+41,1.562908237450824e+41,6.1280719610803195e+44,,,1.2929146254642143,0.14570287558141723,9,0
Schirrmeister2017,lr3000,spdsw_l40,sw,40,4.262946139696567,9.393293023739961,15.664040817165926,0.9112194515134517,0.0,0.0,,,1.2568960491723071,0.18455494490136673,0,0
Schirrmeister2017,normalized,cvar_a0p5,cvar,40,4.429278209126221,9.838847309093143,16.356124655947898,0.9072023217222165,0.018283839364642902,6.627244289026704,,,1.3767787026396643,0.3362042827841636,3,0
Schirrmeister2017,normalized,ebsw_exp_default_b1,ebsw_exp,40,5.262685540409102,11.775685282600678,19.255809099634558,0.8896770867673669,0.0007586044097934977,0.5308491649767022,,,1.377210472813911,0.25922828136627896,1,0
Schirrmeister2017,normalized,evar_k0p1,evar,40,3.979752628805864,9.118372897123585,15.493573071211237,0.9135929150183085,0.024674432660735077,9.851312160130485,,,2.1744124507014124,1.7938296358204058,3,0
Schirrmeister2017,normalized,sampled_max_l40,sampled_max,40,-2.2628541125950945,-4.604264708982245,-6.954821615192096,1.0424667937238137,0.1535483113662401,56.55212307019113,,,1.324834018247202,0.14299352265268564,6,0
Schirrmeister2017,normalized,spdsw_l40,sw,40,5.306541807652106,11.861683281674857,19.36778723950022,0.8889184823575734,0.0,0.0,,,1.3006493382983737,0.18621512843911886,1,0
