dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,0,1788,,,490.24539687239565,0.0,,,,,,,,,,,,0.0,0.0,0.036504270043224096,0.0,0,3000.0,7.3473173386245945,False,False,initial
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,1,1788,0.03271763974027704,0.18088018061765926,,,0.002731277747924675,8.193833243774025,0.018298110346791508,0.021481162217773114,0.09146571106877682,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00042190589010715485,0.0034674489870667458,0.036504270043224096,0.0034674489870667458,40,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,2,1789,0.04871990393375139,0.2207258569668524,,,0.003336034494128563,10.008103482385689,0.027268444588575354,0.031849331821654524,0.15331985717709257,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003601361531764269,0.006665142951533198,0.036504270043224096,0.006665142951533198,80,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,3,1791,0.08160632761981192,0.28566821247701313,,,0.004295671038872162,12.887013116616483,0.04612763655145265,0.07815262736250263,0.4784281586400491,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003426619805395603,0.009796825936064124,0.036504270043224096,0.009796825936064124,120,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,4,1794,0.06530550574522762,0.2555494193795549,,,0.003865780877711697,11.597342633135089,0.03542710928749939,0.042628700536424854,0.15590712525001643,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.000336008844897151,0.012900035828351974,0.036504270043224096,0.012900035828351974,160,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,5,1798,0.08253989772834727,0.2872975769621931,,,0.004366071941555372,13.098215824666116,0.044879464474089366,0.07063178687090567,0.3767879355611363,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003353229258209467,0.015991436783224344,0.036504270043224096,0.015991436783224344,200,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,6,1803,0.05614877551567557,0.23695732847007617,,,0.003586779982234361,10.760339946703084,0.029916366283236785,0.04857357153469172,0.2416306369953019,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003285000566393137,0.019059292739257216,0.036504270043224096,0.019059292739257216,240,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,7,1809,0.06289463010581914,0.25078801826606295,,,0.003787131668939765,11.361395006819295,0.03390010416943741,0.04529538697704619,0.18047428945085076,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00032165111042559147,0.022099799709394574,0.036504270043224096,0.022099799709394574,280,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,8,1816,0.05368792732503469,0.23170655434198378,,,0.003520385278176475,10.561155834529425,0.029179433358032927,0.04036483380836341,0.19355628769526076,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00033114105463027954,0.02515740878880024,0.036504270043224096,0.02515740878880024,320,3000.0,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,14,1788,lr3000,cvar_a0p5,cvar,40,9,1824,0.07757306096848265,0.2785194086028524,,,0.004210480996347645,12.631442989042934,0.04159846557946812,0.0461851547884689,0.1586272171424975,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003226199187338352,0.0281804867554456,0.036504270043224096,0.0281804867554456,360,3000.0,7.3473173386245945,False,False,exact_cap
