dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,0,6398,,,99.47222961282489,0.0,,,,,,,,,,,,0.0,0.0,0.00942082586698234,0.0,0,3000.0,7.3473173386245945,False,False,initial
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,1,6398,0.0017165709602452305,0.04143152133635972,,,0.0007378076747426048,2.2134230242278146,0.0017129955774770626,0.0018891399152662102,0.009172689902208438,3.688877665332959,1.7887809772137433e-06,39.99985672309032,1.0,,,0.0002944408915936947,0.0030235270969569683,0.00942082586698234,0.0030235270969569683,40,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,2,6399,0.002349586246055752,0.048472530840216625,,,0.0008561906481210369,2.5685719443631108,0.002341498555252322,0.0028390489524995587,0.012621620218692495,3.6888754056817374,4.048432199191325e-06,39.99967539053708,1.0,,,0.00027659698389470577,0.00498953415080905,0.00942082586698234,0.00498953415080905,80,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,3,6401,0.001978708255773739,0.04448267365810804,,,0.0007901539025340301,2.3704617076020904,0.0019716451767466878,0.0026530075881777155,0.013574217876042263,3.6888759184640763,3.535649859890658e-06,39.99971648876917,1.0,,,0.00025627599097788334,0.006866510258987546,0.00942082586698234,0.006866510258987546,120,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,4,6404,0.002128969177439251,0.046140753975626045,,,0.0008277434328256347,2.4832302984769044,0.0021229679879721367,0.002447070779963202,0.009887281411642338,3.68887645134566,3.0027682758671827e-06,39.99975943091998,1.0,,,0.0002447129227221012,0.008701457409188151,0.00942082586698234,0.008701457409188151,160,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,5,6408,0.0024689895325593135,0.049688927665620976,,,0.000894356869159345,2.683070607478035,0.0024544828615525732,0.0037979463438464404,0.020035800573817486,3.688872187037753,7.26707618293596e-06,39.99941642603915,1.0,,,0.00024126307107508183,0.010522590251639485,0.00942082586698234,0.010522590251639485,200,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,6,6413,0.0014349163023546579,0.037880289100727015,,,0.0006736412829896417,2.020923848968925,0.0014321147612533845,0.0016720655166562002,0.008892687235885599,3.6888780523862286,1.4017277076301123e-06,39.99988770840046,1.0,,,0.00024880189448595047,0.012334555154666305,0.00942082586698234,0.012334555154666305,240,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,7,6419,0.0020529560193874525,0.04530955770461076,,,0.0008005239854162107,2.401571956248632,0.002044851705291051,0.0028425424540013846,0.01167492263806329,3.688875397908933,4.056205003288626e-06,39.99967485554922,1.0,,,0.00024111918173730373,0.014126284280791879,0.00942082586698234,0.014126284280791879,280,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,8,6426,0.0015219067070495573,0.03901162271746149,,,0.0006940147179307206,2.082044153792162,0.0015184253917978265,0.0018635644083669625,0.009697217592805764,3.6888777120478675,1.7420660687228375e-06,39.999860408989356,1.0,,,0.0002474370412528515,0.01593751134350896,0.00942082586698234,0.01593751134350896,320,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,9,6434,0.0023863056335242635,0.048849827364324055,,,0.0008795900287120116,2.6387700861360344,0.00237878427676747,0.0027392962387082563,0.012571945668192912,3.6888756904976914,3.7636162457146114e-06,39.999698440630766,1.0,,,0.0002468437887728214,0.017726050224155188,0.00942082586698234,0.017726050224155188,360,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,10,6443,0.0022687980842475888,0.04763190195916586,,,0.000846489893710439,2.5394696811313167,0.0022614904540820845,0.002699616829590357,0.012588475325172422,3.688875797012745,3.6571011919503903e-06,39.999706905798405,1.0,,,0.00024516903795301914,0.01953951525501907,0.00942082586698234,0.01953951525501907,400,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,11,6453,0.0018044496993495814,0.042478814712154825,,,0.0007596425206589446,2.278927561976834,0.0018005908147208267,0.0019627401333814094,0.008912468033278671,3.688877523581787,1.930532149391315e-06,39.99984538309618,1.0,,,0.00023781508207321167,0.02129998430609703,0.00942082586698234,0.02129998430609703,440,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,12,6464,0.002370596370689229,0.048688770478306685,,,0.0008633352897691668,2.5900058693075003,0.0023563437659187116,0.003765226553014162,0.01823745328533373,3.688872315177435,7.138936500786003e-06,39.99942685722723,1.0,,,0.00024326099082827568,0.02310604229569435,0.00942082586698234,0.02310604229569435,480,3000.0,7.3473173386245945,False,False,fixed_beta
Schirrmeister2017,1,6398,lr3000,ebsw_exp_default_b1,ebsw_exp,40,13,6476,0.001525069535975452,0.039052138686318474,,,0.0006978984438393947,2.093695331518184,0.0015220953576965367,0.0017228217373926058,0.008353313608459347,3.688877966013495,1.4881004410617822e-06,39.99988078999217,1.0,,,0.00023994292132556438,0.024868774227797985,0.00942082586698234,0.024868774227797985,520,3000.0,7.3473173386245945,False,False,fixed_beta
