dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,0,6398,,,99.47222961282489,0.0,,,,,,,,,,,,0.0,0.0,0.009508661925792694,0.0,0,3000.0,7.3473173386245945,False,False,initial
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,1,6398,0.009172689902208438,0.09577416093189456,,,0.01070787671658604,32.12363014975812,0.0017129955774770626,0.0018891399152662102,0.009172689902208438,-0.0,3.6888794541139363,1.0,inf,,,0.00015757698565721512,0.0028624769765883684,0.009508661925792694,0.0028624769765883684,40,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,2,6399,0.016922773470353848,0.1300875607825508,,,0.014544231446845968,43.6326943405379,0.002902890861986527,0.0035477487453909893,0.016922773470353848,-0.0,3.6888794541139363,1.0,inf,,,0.00015635089948773384,0.004760413896292448,0.009508661925792694,0.004760413896292448,80,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,3,6401,0.02106384944407245,0.1451339017737498,,,0.016226463510294095,48.67939053088228,0.0034016399170121074,0.0040185380168759124,0.02106384944407245,-0.0,3.6888794541139363,1.0,inf,,,0.0001385211944580078,0.006550309946760535,0.009508661925792694,0.006550309946760535,120,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,4,6404,0.022134113104680317,0.1487753780189461,,,0.016633592931429575,49.900778794288726,0.004985005985109913,0.0053844989800746835,0.022134113104680317,-0.0,3.6888794541139363,1.0,inf,,,0.00014061504043638706,0.008319627959281206,0.009508661925792694,0.008319627959281206,160,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,5,6408,0.02251298478123622,0.15004327636130924,,,0.016775348275533737,50.32604482660121,0.004404007121791463,0.005662137887038452,0.02251298478123622,-0.0,3.6888794541139363,1.0,inf,,,0.00013475213199853897,0.01008458691649139,0.009508661925792694,0.01008458691649139,200,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,6,6413,0.012239578701410486,0.11063262946079916,,,0.012369104000194643,37.107312000583924,0.003842833457691629,0.003599960924898126,0.012239578701410486,-0.0,3.6888794541139363,1.0,inf,,,0.0001299071591347456,0.011848354944959283,0.009508661925792694,0.011848354944959283,240,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,7,6419,0.022396583156984534,0.14965488016427841,,,0.01673192426059557,50.19577278178672,0.004356012140058505,0.005300069109315646,0.022396583156984534,-0.0,3.6888794541139363,1.0,inf,,,0.00013339496217668056,0.013596019009128213,0.009508661925792694,0.013596019009128213,280,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,8,6426,0.02710963858038001,0.16465004883200007,,,0.018408435084350604,55.225305253051815,0.005421888940385628,0.006323940299043985,0.02710963858038001,-0.0,3.6888794541139363,1.0,inf,,,0.0001311770174652338,0.015446319943293929,0.009508661925792694,0.015446319943293929,320,3000.0,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,lr3000,sampled_max_l40,sampled_max,40,9,6434,0.03996896640043343,0.19992240094705102,,,0.02235200393712872,67.05601181138617,0.008411358884607104,0.01036683625088301,0.03996896640043343,-0.0,3.6888794541139363,1.0,inf,,,0.0001281390432268381,0.01720257685519755,0.009508661925792694,0.01720257685519755,360,3000.0,7.3473173386245945,False,False,sampled_max
