dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,0,1788,,,99.47222961282489,0.0,,,,,,,,,,,,0.0,0.0,0.0096968081779778,0.0,0,,7.3473173386245945,False,False,initial
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,1,1788,0.003211263617616581,0.05666801229632623,,,0.0014109088769176889,7.347317338624594,0.0018992958015885384,0.001960583152590864,0.00849819684220019,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00039719301275908947,0.0028816109988838434,0.0096968081779778,0.0028816109988838434,40,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,2,1789,0.0028932737420293113,0.05378916007923261,,,0.0013325798041941477,7.347317338624594,0.0016983161735664666,0.0019063191000660696,0.008916101440499653,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003515088465064764,0.004936326062306762,0.0096968081779778,0.004936326062306762,80,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,3,1791,0.004214378311417617,0.06491824328659562,,,0.0016120073292106142,7.3473173386245945,0.002290189989971588,0.003755646167739909,0.018639356401912884,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00033778510987758636,0.006919498089700937,0.0096968081779778,0.006919498089700937,120,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,4,1794,0.005025494962126295,0.07089072550148076,,,0.0017798497292381118,7.3473173386245945,0.0027890952701714253,0.003927244848086631,0.01771640329028029,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00033601303584873676,0.008890282129868865,0.0096968081779778,0.008890282129868865,160,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,5,1798,0.003160334486183316,0.056216852332581876,,,0.0014036647340767794,7.347317338624595,0.0018279022015901423,0.00223432734313362,0.009939032225522892,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003225619439035654,0.010840376140549779,0.0096968081779778,0.010840376140549779,200,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,6,1803,0.004118375278955912,0.0641745687866768,,,0.0016315631401916078,7.3473173386245945,0.0023285414114355514,0.003141831352764171,0.016965405869381778,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003199120983481407,0.012773085152730346,0.0096968081779778,0.012773085152730346,240,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,7,1809,0.00455991622711598,0.06752715177701471,,,0.001685877557544082,7.3473173386245945,0.002580532754688394,0.0034469533544485265,0.01685418148539671,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00033204699866473675,0.014726888155564666,0.0096968081779778,0.014726888155564666,280,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,8,1816,0.0034736166788785767,0.05893739626823174,,,0.0014695938465302644,7.3473173386245945,0.00198437489370069,0.00243907805134738,0.011026109587503791,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003180289641022682,0.016654839273542166,0.0096968081779778,0.016654839273542166,320,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,9,1824,0.003191663906853234,0.0564948130968962,,,0.0013922099641394804,7.3473173386245945,0.0017999510979436334,0.002118770716549937,0.009923769625954454,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003162629436701536,0.0185798741877079,0.0096968081779778,0.0185798741877079,360,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,10,1833,0.0034313529274226083,0.05857775112978142,,,0.001456655551975022,7.347317338624595,0.0019850199001709835,0.0027805167203049726,0.015163830189404748,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.00032461504451930523,0.020515252370387316,0.0096968081779778,0.020515252370387316,400,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,11,1843,0.003378549210331103,0.058125288905356017,,,0.0014632827483834774,7.347317338624595,0.001967125744681634,0.001988112825813048,0.007485421339632177,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003218729980289936,0.022450693417340517,0.0096968081779778,0.022450693417340517,440,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,12,1854,0.0036645174967862614,0.06053525829453659,,,0.0015133315317899924,7.347317338624595,0.0020871121829248163,0.0025060388683241304,0.011663292724350042,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003189558628946543,0.024366637226194143,0.0096968081779778,0.024366637226194143,480,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,13,1866,0.002671730418950766,0.05168878426651923,,,0.001288696701106519,7.3473173386245945,0.0015754624743282396,0.0014878902641147626,0.005685192360463037,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003269009757786989,0.026302198180928826,0.0096968081779778,0.026302198180928826,520,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,14,1879,0.0029107575874757685,0.05395143730685744,,,0.001359369930168322,7.347317338624594,0.0016418670930125922,0.0016891414224114018,0.007188073762731611,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00031906994991004467,0.02823946624994278,0.0096968081779778,0.02823946624994278,560,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,15,1893,0.0044873535064546815,0.06698771160783656,,,0.0016736166075899453,7.347317338624595,0.002523709306369172,0.003593162768870308,0.019709123347823435,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00031847297213971615,0.030164924217388034,0.0096968081779778,0.030164924217388034,600,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,16,1908,0.0026268843536582567,0.0512531399395028,,,0.0012893611256053629,7.347317338624593,0.0015205858355226125,0.0016991702356651639,0.007069961520060539,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003269440494477749,0.032099829288199544,0.0096968081779778,0.032099829288199544,640,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,17,1924,0.002977406390303407,0.054565615457936575,,,0.0013768493407306387,7.347317338624595,0.001675877290476007,0.0021747203104982133,0.01033889543772575,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003100810572504997,0.034005010267719626,0.0096968081779778,0.034005010267719626,680,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,18,1941,0.004500388505198299,0.06708493500927239,,,0.0016588151121857434,7.347317338624593,0.0026943496027767126,0.00262951050128391,0.011519864635401587,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00031351903453469276,0.03591342526488006,0.0096968081779778,0.03591342526488006,720,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,19,1959,0.003078479862129362,0.05548405052021132,,,0.0013893534668177304,7.347317338624595,0.0017064556265231842,0.002425370221595488,0.013568405903485395,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003279019147157669,0.03784042131155729,0.0096968081779778,0.03784042131155729,760,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,20,1978,0.003386747917160705,0.05819577233064877,,,0.0014762847893576775,7.3473173386245945,0.0019418783043184504,0.002146338276255626,0.009294182899002641,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003149597905576229,0.03975796536542475,0.0096968081779778,0.03975796536542475,800,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,21,1998,0.00322988569077779,0.05683208328732803,,,0.0014229195015730597,7.347317338624595,0.0018414941779887316,0.0020829909669153705,0.010085404218856718,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00031698914244771004,0.041673024417832494,0.0096968081779778,0.041673024417832494,840,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,22,2019,0.0014783120168090891,0.038448823347523774,,,0.0009677000971193285,7.3473173386245945,0.0008783042166283655,0.0007973447876802769,0.0035134673850464575,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.0003250211011618376,0.04363940260373056,0.0096968081779778,0.04363940260373056,880,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,23,2041,0.0022603818319678927,0.047543473074312656,,,0.0011956195254573068,7.3473173386245945,0.0013092145532288772,0.001545472431235715,0.00810460703195105,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.000318226870149374,0.045560142723843455,0.0096968081779778,0.045560142723843455,920,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,24,2064,0.0032217941077552804,0.05676085013242209,,,0.0014293324597553232,7.3473173386245945,0.0018270047340282172,0.002410892940048892,0.010884977208888306,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00032116216607391834,0.04747298266738653,0.0096968081779778,0.04747298266738653,960,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,25,2088,0.0031865270918194693,0.056449332075937525,99.46860795092427,0.0036408773732332467,0.0014129695927927195,7.347317338624593,0.0017889065555625689,0.00245209803105234,0.011933493894940308,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003212518058717251,0.049401280703023076,0.019397621043026447,0.049401280703023076,1000,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,26,2113,0.0019656343123236565,0.04433547464867898,,,0.0011210719219307119,7.347317338624596,0.0011668193959490218,0.00109489330112553,0.004459517406831681,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00038233702071011066,0.05223359167575836,0.019397621043026447,0.05223359167575836,1040,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,27,2139,0.003799507793884549,0.06164014758162532,,,0.0015462393038444848,7.3473173386245945,0.00236814221954918,0.0017573117597522252,0.0065492879770335235,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00035924906842410564,0.054322544718161225,0.019397621043026447,0.054322544718161225,1080,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,28,2166,0.002864474714642326,0.0535207876870504,,,0.0013417510149144269,7.3473173386245945,0.0016421069312030235,0.001708617887523247,0.008406865500650966,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003364169970154762,0.0563281187787652,0.019397621043026447,0.0563281187787652,1120,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,29,2194,0.003157210689600368,0.05618906201032695,,,0.0013944549009478118,7.3473173386245945,0.0018113053977850489,0.0019099491607156172,0.007842630600114777,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00032287510111927986,0.05829940177500248,0.019397621043026447,0.05829940177500248,1160,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,30,2223,0.00333778876372852,0.05777359919313077,,,0.001452146453463662,7.3473173386245945,0.0019904853328294387,0.001962769873769628,0.01043105303231906,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003179791383445263,0.0602361299097538,0.019397621043026447,0.0602361299097538,1200,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,31,2253,0.0029664391162668143,0.054465026542422745,,,0.0013698656788347621,7.347317338624595,0.0017953189659922774,0.0015041030574991145,0.006210497473293889,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00032564601860940456,0.06218799576163292,0.019397621043026447,0.06218799576163292,1240,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,32,2284,0.0025152336972829215,0.05015210561165823,,,0.001240257386554091,7.3473173386245945,0.0014685938227567655,0.0024897778929372457,0.015267475653335832,2.9957322735539913,0.6931471805599454,19.999999999999996,,,20.0,0.00031213113106787205,0.06412135483697057,0.019397621043026447,0.06412135483697057,1280,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,33,2316,0.005280497284773913,0.07266703024600574,,,0.0018143082792717985,7.347317338624595,0.002871369605742779,0.00376102049838294,0.019273118208364005,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.00031950906850397587,0.06604704889468849,0.019397621043026447,0.06604704889468849,1320,,7.3473173386245945,False,False,exact_cap
Schirrmeister2017,1,1788,normalized,cvar_a0p5,cvar,40,34,2349,0.004278335278725263,0.06540898469419368,,,0.001621042724817143,7.3473173386245945,0.0023974539872780873,0.003085201380993458,0.014276193597161103,2.9957322735539913,0.6931471805599454,20.0,,,20.0,0.0003283300902694464,0.06799195078201592,0.019397621043026447,0.06799195078201592,1360,,7.3473173386245945,False,False,exact_cap
