dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,0,6398,,,99.47222961282489,0.0,,,,,,,,,,,,0.0,0.0,0.00945362402126193,0.0,0,,7.3473173386245945,False,False,initial
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,1,6398,0.009172689902208438,0.09577416093189456,,,0.01070787671658604,7.347317338624595,0.0017129955774770626,0.0018891399152662102,0.009172689902208438,-0.0,3.6888794541139363,1.0,inf,,,0.0001623139251023531,0.002677322831004858,0.00945362402126193,0.002677322831004858,40,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,2,6399,0.012803297767617785,0.1131516582627837,,,0.012650739982120506,7.347317338624595,0.002407718576081092,0.0029812551251293196,0.012803297767617785,-0.0,3.6888794541139363,1.0,inf,,,0.00014824513345956802,0.004569880664348602,0.00945362402126193,0.004569880664348602,80,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,3,6401,0.0150711045873805,0.12276442720666479,,,0.013725480222646358,7.3473173386245945,0.0021079559398406544,0.0027947239711712795,0.0150711045873805,-0.0,3.6888794541139363,1.0,inf,,,0.00014798017218708992,0.006391710601747036,0.00945362402126193,0.006391710601747036,120,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,4,6404,0.010564873774632395,0.10278557182130377,,,0.011491776284931105,7.3473173386245945,0.0023181064256926408,0.0026225105361209703,0.010564873774632395,-0.0,3.6888794541139363,1.0,inf,,,0.0001301539596170187,0.008191467728465796,0.00945362402126193,0.008191467728465796,160,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,5,6408,0.016705061518220755,0.12924806195150762,,,0.01445037262418376,7.3473173386245945,0.0024362454891621423,0.003510894561740906,0.016705061518220755,-0.0,3.6888794541139363,1.0,inf,,,0.0001414769794791937,0.009992982726544142,0.00945362402126193,0.009992982726544142,200,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,6,6413,0.010365906316005258,0.10181309501240622,,,0.011383050072369259,7.347317338624593,0.0015905001216728193,0.002033764341877754,0.010365906316005258,-0.0,3.6888794541139363,1.0,inf,,,0.0001375309657305479,0.011790170799940825,0.00945362402126193,0.011790170799940825,240,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,7,6419,0.017380525492533147,0.13183522098640085,,,0.014739625797714961,7.347317338624595,0.0022955178114601135,0.0038139464806355365,0.017380525492533147,-0.0,3.6888794541139363,1.0,inf,,,0.00013871490955352783,0.013579311780631542,0.00945362402126193,0.013579311780631542,280,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,8,6426,0.012182737147030595,0.11037543724502565,,,0.012340349036306975,7.3473173386245945,0.0016407454367201877,0.0020117330637126622,0.012182737147030595,-0.0,3.6888794541139363,1.0,inf,,,0.00013027992099523544,0.015354624949395657,0.00945362402126193,0.015354624949395657,320,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,9,6434,0.012987553794306064,0.11396294921730511,,,0.012741445068312537,7.347317338624595,0.0025312696397945065,0.0029840716941619706,0.012987553794306064,-0.0,3.6888794541139363,1.0,inf,,,0.0001324131153523922,0.01713803387247026,0.00945362402126193,0.01713803387247026,360,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,10,6443,0.013296391361799463,0.11530997945450976,,,0.012892047627219395,7.3473173386245945,0.0026004945616055187,0.002777348414589318,0.013296391361799463,-0.0,3.6888794541139363,1.0,inf,,,0.0001339379232376814,0.01891941693611443,0.00945362402126193,0.01891941693611443,400,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,11,6453,0.009573198247496854,0.09784272199554167,,,0.010939148874282253,7.3473173386245945,0.0017223361055556338,0.00197882241185505,0.009573198247496854,-0.0,3.6888794541139363,1.0,inf,,,0.00012965290807187557,0.020704473135992885,0.00945362402126193,0.020704473135992885,440,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,12,6464,0.01722431908461386,0.13124145337740611,,,0.01467324056088747,7.3473173386245945,0.0025575864248277122,0.003896343571090119,0.01722431908461386,-0.0,3.6888794541139363,1.0,inf,,,0.00013339309953153133,0.022476633079349995,0.00945362402126193,0.022476633079349995,480,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,13,6476,0.010122940057290673,0.10061282252919193,,,0.011248855529169774,7.3473173386245945,0.0017048010259231008,0.0018923538879192295,0.010122940057290673,-0.0,3.6888794541139363,1.0,inf,,,0.00013120099902153015,0.024257015204057097,0.00945362402126193,0.024257015204057097,520,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,14,6489,0.01830994290115501,0.13531423761435826,,,0.015128591681463204,7.347317338624595,0.0021092463472750836,0.00326153612455017,0.01830994290115501,-0.0,3.6888794541139363,1.0,inf,,,0.0001317998394370079,0.026033870177343488,0.00945362402126193,0.026033870177343488,560,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,15,6503,0.0073366531378035345,0.08565426514659696,,,0.00957643797152909,7.3473173386245945,0.0014738740044274057,0.0017004705118287057,0.0073366531378035345,-0.0,3.6888794541139363,1.0,inf,,,0.00013407901860773563,0.027826008154079318,0.00945362402126193,0.027826008154079318,600,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,16,6518,0.015448460730665123,0.12429183694299929,,,0.013896249822643305,7.347317338624595,0.0020738516875884326,0.0031489996647495,0.015448460730665123,-0.0,3.6888794541139363,1.0,inf,,,0.00013441196642816067,0.02959753223694861,0.00945362402126193,0.02959753223694861,640,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,17,6534,0.01698358363922075,0.1303210790287617,,,0.014570339580471672,7.3473173386245945,0.003214667420495368,0.00397199082103744,0.01698358363922075,-0.0,3.6888794541139363,1.0,inf,,,0.00013129878789186478,0.031383706256747246,0.00945362402126193,0.031383706256747246,680,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,18,6551,0.012456106301139136,0.11160692765746728,,,0.01247803385009991,7.347317338624595,0.0016573160078118942,0.0024279640454536212,0.012456106301139136,-0.0,3.6888794541139363,1.0,inf,,,0.00014456803910434246,0.033164239255711436,0.00945362402126193,0.033164239255711436,720,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,19,6569,0.01099973747736101,0.10487963328197239,,,0.011725899473686983,7.3473173386245945,0.0020358283605079507,0.00250719356637918,0.01099973747736101,-0.0,3.6888794541139363,1.0,inf,,,0.00012900098226964474,0.0349436542019248,0.00945362402126193,0.0349436542019248,760,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,20,6588,0.006401875997063792,0.08001172412255464,,,0.008945582706749597,7.347317338624595,0.0016578494385992239,0.0016023641505068327,0.006401875997063792,-0.0,3.6888794541139363,1.0,inf,,,0.00012933695688843727,0.03671530308201909,0.00945362402126193,0.03671530308201909,800,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,21,6608,0.013824920242196592,0.11757942099787952,,,0.013145778905316239,7.347317338624595,0.002542295943170063,0.003657789199292243,0.013824920242196592,-0.0,3.6888794541139363,1.0,inf,,,0.00013312697410583496,0.0384899671189487,0.00945362402126193,0.0384899671189487,840,,7.3473173386245945,False,False,sampled_max
Schirrmeister2017,1,6398,normalized,sampled_max_l40,sampled_max,40,22,6629,0.018299162277205447,0.1352743962367064,,,0.015124137280025863,7.347317338624595,0.0029152715051523254,0.003641448879180429,0.018299162277205447,-0.0,3.6888794541139363,1.0,inf,,,0.00013364991173148155,0.04027475113980472,0.00945362402126193,0.04027475113980472,880,,7.3473173386245945,False,False,sampled_max
