dataset,subject,seed,control,method,family,L,epoch,direction_seed,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,entropy,kl_uniform,ess,beta_star,achieved_kl,active_tail_count,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,wall_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,0,6398,,,99.47222961282489,0.0,,,,,,,,,,,,0.0,0.0,0.009448362980037928,0.0,0,,7.3473173386245945,False,False,initial
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,1,6398,0.0017129955774770626,0.04138835074603798,,,0.0007347317338624595,7.347317338624593,0.0017129955774770626,0.0018891399152662102,0.009172689902208438,3.6888794541139367,0.0,39.99999999999999,,,,0.00021562702022492886,0.002224921016022563,0.009448362980037928,0.002224921016022563,40,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,2,6399,0.0023385588865147367,0.04835864851828199,,,0.0008495949433519281,7.3473173386245945,0.0023385588865147367,0.00273582135976322,0.012384576403378401,3.6888794541139367,0.0,39.99999999999999,,,,0.00018298905342817307,0.00405970704741776,0.009448362980037928,0.00405970704741776,80,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,3,6401,0.002031873156503539,0.04507630371385323,,,0.0007961711678974297,7.347317338624595,0.002031873156503539,0.002719728553064487,0.013543611648967654,3.6888794541139367,0.0,39.99999999999999,,,,0.00017378805205225945,0.005815782118588686,0.009448362980037928,0.005815782118588686,120,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,4,6404,0.0021188692174845523,0.04603117658157949,,,0.0008221978281143211,7.3473173386245945,0.0021188692174845523,0.00239989599373885,0.010071395442248759,3.6888794541139367,0.0,39.99999999999999,,,,0.0001710238866508007,0.007558363024145365,0.009448362980037928,0.007558363024145365,160,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,5,6408,0.0024684061229817396,0.04968305669925855,,,0.0008870910534545178,7.3473173386245945,0.0024684061229817396,0.0038700951824157757,0.021210410346192705,3.6888794541139367,0.0,39.99999999999999,,,,0.00017186999320983887,0.009291003923863173,0.009448362980037928,0.009291003923863173,200,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,6,6413,0.001352746842126453,0.03677970693366728,,,0.0006506333007432429,7.3473173386245945,0.001352746842126453,0.0014713404291086117,0.007326730766274438,3.6888794541139367,0.0,39.99999999999999,,,,0.00017113704234361649,0.011019809870049357,0.009448362980037928,0.011019809870049357,240,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,7,6419,0.0022142833744288833,0.04705617254334317,,,0.000828206170162745,7.3473173386245945,0.0022142833744288833,0.0030930138806638213,0.01419575616093675,3.6888794541139367,0.0,39.99999999999999,,,,0.00017877877689898014,0.012746847933158278,0.009448362980037928,0.012746847933158278,280,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,8,6426,0.001522225184106801,0.03901570432667852,,,0.0006916227906030762,7.347317338624595,0.001522225184106801,0.0018433387257399722,0.009704007105761603,3.6888794541139367,0.0,39.99999999999999,,,,0.00016892584972083569,0.014443844091147184,0.009448362980037928,0.014443844091147184,320,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,9,6434,0.002268921210279529,0.04763319441607427,,,0.0008517626141930297,7.347317338624595,0.002268921210279529,0.0028381638440753447,0.012845647960382674,3.6888794541139367,0.0,39.99999999999999,,,,0.00016726506873965263,0.016157745150849223,0.009448362980037928,0.016157745150849223,360,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,10,6443,0.0023076991295186183,0.04803851714529309,,,0.000849117391714941,7.347317338624595,0.0023076991295186183,0.002935151665558682,0.01399593430910985,3.6888794541139367,0.0,39.99999999999999,,,,0.00017210491932928562,0.01787312305532396,0.009448362980037928,0.01787312305532396,400,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,11,6453,0.001744455983122592,0.041766685086592543,,,0.000744140634282646,7.347317338624593,0.001744455983122592,0.00194705929528637,0.007656527090408344,3.6888794541139367,0.0,39.99999999999999,,,,0.00016801082529127598,0.019582967972382903,0.009448362980037928,0.019582967972382903,440,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,12,6464,0.002300941687317686,0.04796813199737599,,,0.0008416083720388361,7.347317338624595,0.002300941687317686,0.0032231785714867513,0.014874787156700289,3.6888794541139367,0.0,39.99999999999999,,,,0.00017450586892664433,0.021277050953358412,0.009448362980037928,0.021277050953358412,480,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,13,6476,0.0016265327894414647,0.04033029617349053,,,0.0007190848959449106,7.347317338624595,0.0016265327894414647,0.0017138692363558015,0.007421794917300516,3.6888794541139367,0.0,39.99999999999999,,,,0.0001681509893387556,0.02297724992968142,0.009448362980037928,0.02297724992968142,520,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,14,6489,0.0017772827789290368,0.04215783176266347,,,0.0007405188097725108,7.3473173386245945,0.0017772827789290368,0.0019423226768676607,0.009767690692926963,3.6888794541139367,0.0,39.99999999999999,,,,0.00016624596901237965,0.02467947988770902,0.009448362980037928,0.02467947988770902,560,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,15,6503,0.0012974939469590921,0.036020743287154586,,,0.0006415332693615946,7.347317338624595,0.0012974939469590921,0.001602556347778948,0.006049067293726259,3.6888794541139367,0.0,39.99999999999999,,,,0.00016887509264051914,0.026370201725512743,0.009448362980037928,0.026370201725512743,600,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,16,6518,0.0017987679251849254,0.04241188424468931,,,0.0007514231192597505,7.347317338624594,0.0017987679251849254,0.00199567440105667,0.007226097502358916,3.6888794541139367,0.0,39.99999999999999,,,,0.00016586389392614365,0.02805758360773325,0.009448362980037928,0.02805758360773325,640,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,17,6534,0.002838705084562298,0.05327949966508974,,,0.0009408828360964241,7.3473173386245945,0.002838705084562298,0.003986989004523793,0.018326374489050872,3.6888794541139367,0.0,39.99999999999999,,,,0.0001673141960054636,0.029770737746730447,0.009448362980037928,0.029770737746730447,680,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,18,6551,0.0014711935296231812,0.03835614070293284,,,0.0006754235255298479,7.347317338624595,0.0014711935296231812,0.0017914935632417676,0.007963433809167204,3.6888794541139367,0.0,39.99999999999999,,,,0.0001673959195613861,0.0314640395808965,0.009448362980037928,0.0314640395808965,720,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,19,6569,0.0017523230152774842,0.041860757461821975,,,0.0007333105276160516,7.3473173386245945,0.0017523230152774842,0.00211685212057697,0.009004040755713979,3.6888794541139367,0.0,39.99999999999999,,,,0.00016685901209712029,0.03316607652232051,0.009448362980037928,0.03316607652232051,760,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,20,6588,0.0015958481915457818,0.03994806868355192,,,0.000709419530941551,7.347317338624596,0.0015958481915457818,0.001926720985666638,0.00820227177748532,3.6888794541139367,0.0,39.99999999999999,,,,0.0001713989768177271,0.03485052241012454,0.009448362980037928,0.03485052241012454,800,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,21,6608,0.0021945444888147904,0.0468459655553687,,,0.0008301330314513018,7.347317338624593,0.0021945444888147904,0.0032674938373016995,0.015368149953268465,3.6888794541139367,0.0,39.99999999999999,,,,0.00016868091188371181,0.03657070337794721,0.009448362980037928,0.03657070337794721,840,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,22,6629,0.0022903934891246773,0.04785805563460218,,,0.0008411749143376713,7.3473173386245945,0.0022903934891246773,0.0026655663653326403,0.010275934609151272,3.6888794541139367,0.0,39.99999999999999,,,,0.00016898405738174915,0.03827469842508435,0.009448362980037928,0.03827469842508435,880,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,23,6651,0.0019306298072076723,0.043938932704466915,,,0.0007797174606925444,7.347317338624595,0.0019306298072076723,0.0024309321980624152,0.0123955901920565,3.6888794541139367,0.0,39.99999999999999,,,,0.00017796806059777737,0.039973247330635786,0.009448362980037928,0.039973247330635786,920,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,24,6674,0.002144982645500261,0.04631395735089219,,,0.0008187879739823277,7.3473173386245945,0.002144982645500261,0.0023386207693094755,0.009743682529688474,3.6888794541139367,0.0,39.99999999999999,,,,0.00016514607705175877,0.041652131360024214,0.009448362980037928,0.041652131360024214,960,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,25,6698,0.0013068140636430777,0.03614988331437707,99.33130425562253,0.14167306568967625,0.0006421635388006822,7.3473173386245945,0.0013068140636430777,0.001577001449529741,0.007903081233119887,3.6888794541139367,0.0,39.99999999999999,,,,0.0001690261997282505,0.0433761493768543,0.018772806972265244,0.0433761493768543,1000,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,26,6723,0.0017848049285856303,0.0422469517076159,,,0.0007455112469470389,7.347317338624595,0.0017848049285856303,0.002133382253520398,0.010305164295862954,3.6888794541139367,0.0,39.99999999999999,,,,0.00021123909391462803,0.04545606137253344,0.018772806972265244,0.04545606137253344,1040,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,27,6749,0.0022819365889272347,0.04776961993701891,,,0.0008520224016248106,7.3473173386245945,0.0022819365889272347,0.003462298226418931,0.02041653640207424,3.6888794541139367,0.0,39.99999999999999,,,,0.00018054107204079628,0.04728312534280121,0.018772806972265244,0.04728312534280121,1080,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,28,6776,0.0015645215432563602,0.03955403321099329,,,0.000703630596821155,7.347317338624595,0.0015645215432563602,0.0015269042186103166,0.006016862197687347,3.6888794541139367,0.0,39.99999999999999,,,,0.00018211989663541317,0.0490465322509408,0.018772806972265244,0.0490465322509408,1120,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,29,6804,0.0015848811438253334,0.03981056573103846,,,0.0007032525765924685,7.3473173386245945,0.0015848811438253334,0.0013658054392761277,0.006075163883106489,3.6888794541139367,0.0,39.99999999999999,,,,0.0001713691744953394,0.050783693324774504,0.018772806972265244,0.050783693324774504,1160,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,30,6833,0.0018839298498781341,0.04340426073415068,,,0.0007706975640517311,7.3473173386245945,0.0018839298498781341,0.003061446668276654,0.015428780840321444,3.6888794541139367,0.0,39.99999999999999,,,,0.00016841315664350986,0.052505256375297904,0.018772806972265244,0.052505256375297904,1200,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,31,6863,0.0013953285167897502,0.03735409638566767,,,0.0006605278600368823,7.3473173386245945,0.0013953285167897502,0.0014187408632846234,0.005787737596130405,3.6888794541139367,0.0,39.99999999999999,,,,0.0001682550646364689,0.05421701935119927,0.018772806972265244,0.05421701935119927,1240,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,32,6894,0.0016926817533692866,0.04114221376359428,,,0.0007247162708593912,7.3473173386245945,0.0016926817533692866,0.0017236470124311397,0.007848751232766368,3.6888794541139367,0.0,39.99999999999999,,,,0.00016726995818316936,0.05592008540406823,0.018772806972265244,0.05592008540406823,1280,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,33,6926,0.0017322814285879987,0.04162068510474087,,,0.0007373004048954576,7.3473173386245945,0.0017322814285879987,0.001960088003737993,0.008919466413201259,3.6888794541139367,0.0,39.99999999999999,,,,0.0001752059906721115,0.05763488356024027,0.018772806972265244,0.05763488356024027,1320,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,34,6959,0.0015074844009224765,0.038826336434467736,,,0.0006914251025416893,7.3473173386245945,0.0015074844009224765,0.001103625485698295,0.004875675759635496,3.6888794541139367,0.0,39.99999999999999,,,,0.00016830791719257832,0.05933613353408873,0.018772806972265244,0.05933613353408873,1360,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,35,6993,0.0016329994664659232,0.04041038810090696,,,0.0007144189286796726,7.347317338624595,0.0016329994664659232,0.001598389470802901,0.006521270697906522,3.6888794541139367,0.0,39.99999999999999,,,,0.0001660780981183052,0.06104904948733747,0.018772806972265244,0.06104904948733747,1400,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,36,7028,0.001681601574632938,0.04100733561977586,,,0.0007339395862599442,7.3473173386245945,0.001681601574632938,0.001966878121327568,0.00929091942559216,3.6888794541139367,0.0,39.99999999999999,,,,0.00016943900845944881,0.06274766148999333,0.018772806972265244,0.06274766148999333,1440,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,37,7064,0.0016642934297276476,0.04079575259420578,,,0.000713648423612608,7.347317338624595,0.0016642934297276476,0.0017131955590500606,0.007681580233544374,3.6888794541139367,0.0,39.99999999999999,,,,0.00016573606990277767,0.0644544973038137,0.018772806972265244,0.0644544973038137,1480,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,38,7101,0.001806456702164963,0.04250243172060821,,,0.0007571816982844035,7.3473173386245945,0.001806456702164963,0.001900645350068573,0.008349952127376003,3.6888794541139367,0.0,39.99999999999999,,,,0.00017393496818840504,0.06616021716035903,0.018772806972265244,0.06616021716035903,1520,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,39,7139,0.0016294813474761014,0.040366834746807946,,,0.0007190343677112932,7.347317338624593,0.0016294813474761014,0.002262332733768022,0.011958088053363,3.6888794541139367,0.0,39.99999999999999,,,,0.00016684993170201778,0.06786004803143442,0.018772806972265244,0.06786004803143442,1560,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,40,7178,0.0023625869795032076,0.04860644997840521,,,0.0008666338563833816,7.347317338624595,0.0023625869795032076,0.0025197601878099926,0.012622659780899824,3.6888794541139367,0.0,39.99999999999999,,,,0.00017030304297804832,0.06958275102078915,0.018772806972265244,0.06958275102078915,1600,,7.3473173386245945,False,False,mean
Schirrmeister2017,1,6398,normalized,spdsw_l40,sw,40,41,7218,0.0022074199033722073,0.0469831874543672,,,0.0008246486052622951,7.3473173386245945,0.0022074199033722073,0.00335744108476223,0.016437893410144788,3.6888794541139367,0.0,39.99999999999999,,,,0.0001772930845618248,0.07128522405400872,0.018772806972265244,0.07128522405400872,1640,,7.3473173386245945,False,False,mean
