method,family,update,mean_ESS_over_N,median_ESS_over_N,mean_entropy,median_entropy,mean_max_weight,median_max_weight,mean_top5_mass,median_top5_mass,mean_top10_mass,median_top10_mass
ebsw_full_b1,ebsw,normalized,0.9999992139242397,0.9999999893735876,6.214607709197895,6.214608093109174,0.002002394206558029,0.0020009846535214,0.010008980145838621,0.010003954632256,0.02001521221184087,0.02000691247753415
ebsw_full_b1,ebsw,raw_rooted,0.9999992125821308,0.999999988998572,6.214607708512894,6.214608092921744,0.00200244189123613,0.0020010146344551,0.01000916707471357,0.0100040965603052,0.020015525789175714,0.0200071247121933
ebsw_full_bscale,ebsw,normalized,0.9680208424718231,0.9998342704307939,6.1196991252515645,6.214525665877094,0.014863793347130855,0.0021247325766329,0.029216767727917797,0.010502819590906699,0.041348046880815725,0.02087636506929155
ebsw_full_bscale,ebsw,raw_rooted,0.0022609277532538506,0.0020000001359747497,0.06988559950555262,6.193309084950396e-07,0.9736515229802143,0.9999999660063073,0.9991061157551769,1.0,0.9992223045511748,1.0
ebsw_full_ess025,ebsw,normalized,0.2499999999997209,0.2499999999991357,5.685959974787772,5.67921910971878,0.05270331207911765,0.051802535564941354,0.13905537908471016,0.14000430746425124,0.1974534459257071,0.2021108611639275
ebsw_full_ess025,ebsw,raw_rooted,0.2499999999999601,0.2500000000000354,5.7531200959885815,5.749777870654492,0.05565276852886158,0.055247374590147,0.1424195938066763,0.14415645714123287,0.19731531390167106,0.20112680069736616
ebsw_full_ess050,ebsw,normalized,0.4999999999996567,0.5000000000001683,5.948509873060897,5.94372420064308,0.026104236964893255,0.025202339165120602,0.0788188997476971,0.0789164474549002,0.12104183755135488,0.12196578130518454
ebsw_full_ess050,ebsw,raw_rooted,0.49999999999898853,0.49999999999916284,5.993042447747512,5.989640580383673,0.029651297991351036,0.029119852815799298,0.08429720111722618,0.0846611050140336,0.124551122671792,0.12664486691415924
ebsw_full_ess075,ebsw,normalized,0.7499999999984261,0.7499999999976975,6.098006308396313,6.096415510501508,0.013344881280435355,0.01275961824873535,0.04549434994706738,0.0454926345612805,0.07472278539647405,0.07474760814676705
ebsw_full_ess075,ebsw,raw_rooted,0.7499999999995157,0.7500000000000306,6.116997023553334,6.1152948501204625,0.016275816347873572,0.01575624445165405,0.05068139546256722,0.05076812464514385,0.07929758732016545,0.07988571848860096
