comparison,update,level,subject,seed,difference,mean,median,sd
full_vs_stop_b1,normalized,run,1.0,1788.0,-0.0051980744769203335,,,
full_vs_stop_b1,normalized,run,1.0,3654.0,0.001845872519000591,,,
full_vs_stop_b1,normalized,run,1.0,6398.0,-0.005424273582253281,,,
full_vs_stop_b1,normalized,run,3.0,1788.0,-0.0011045788631328657,,,
full_vs_stop_b1,normalized,run,3.0,3654.0,-0.0041817492849879345,,,
full_vs_stop_b1,normalized,run,3.0,6398.0,0.00032664410470273353,,,
full_vs_stop_b1,normalized,run,8.0,1788.0,-5.55142094796901e-05,,,
full_vs_stop_b1,normalized,run,8.0,3654.0,0.001622157050766293,,,
full_vs_stop_b1,normalized,run,8.0,6398.0,-0.001012010824535614,,,
full_vs_stop_b1,normalized,subject_mean,1.0,,-0.002925491846724341,,,
full_vs_stop_b1,normalized,subject_mean,3.0,,-0.001653228014472689,,,
full_vs_stop_b1,normalized,subject_mean,8.0,,0.00018487733891699629,,,
full_vs_stop_b1,normalized,grand,,,,-0.0014646141740933445,-0.001012010824535614,0.0028066121606138226
full_vs_sw_b1,normalized,run,1.0,1788.0,-0.0028879997255639722,,,
full_vs_sw_b1,normalized,run,1.0,3654.0,0.0037229953224288126,,,
full_vs_sw_b1,normalized,run,1.0,6398.0,-0.004166554861073979,,,
full_vs_sw_b1,normalized,run,3.0,1788.0,0.005559015687239377,,,
full_vs_sw_b1,normalized,run,3.0,3654.0,0.0013263264936224095,,,
full_vs_sw_b1,normalized,run,3.0,6398.0,-0.00038625260073965606,,,
full_vs_sw_b1,normalized,run,8.0,1788.0,0.0005139053698769436,,,
full_vs_sw_b1,normalized,run,8.0,3654.0,0.0008645673564725564,,,
full_vs_sw_b1,normalized,run,8.0,6398.0,0.001818288584834904,,,
full_vs_sw_b1,normalized,subject_mean,1.0,,-0.0011105197547363794,,,
full_vs_sw_b1,normalized,subject_mean,3.0,,0.0021663631933740435,,,
full_vs_sw_b1,normalized,subject_mean,8.0,,0.0010655871037281346,,,
full_vs_sw_b1,normalized,grand,,,,0.0007071435141219329,0.0008645673564725564,0.003003949186508169
full_vs_stop_bscale,normalized,run,1.0,1788.0,0.004571824960657556,,,
full_vs_stop_bscale,normalized,run,1.0,3654.0,-0.0004171081136451482,,,
full_vs_stop_bscale,normalized,run,1.0,6398.0,0.003120430840356403,,,
full_vs_stop_bscale,normalized,run,3.0,1788.0,0.005179771204106065,,,
full_vs_stop_bscale,normalized,run,3.0,3654.0,0.006391696684519554,,,
full_vs_stop_bscale,normalized,run,3.0,6398.0,0.001321641801261264,,,
full_vs_stop_bscale,normalized,run,8.0,1788.0,0.006017540572059277,,,
full_vs_stop_bscale,normalized,run,8.0,3654.0,0.0035634137908679975,,,
full_vs_stop_bscale,normalized,run,8.0,6398.0,0.005653019587385288,,,
full_vs_stop_bscale,normalized,subject_mean,1.0,,0.0024250492291229366,,,
