dataset,method,family,response,calibration,update,subject,seed,epoch,bank_epoch,epochs,N_proj,p,power_objective,rooted_objective,lew,relative_lew,lew_reduction_pct,raw_gradient_norm,applied_update_norm,beta_t,target_rho,ess,ess_over_N,realized_rho_error,weight_entropy,max_weight,top5_mass,top10_mass,solver_status,solver_iterations,bracket_steps,bank_seed,bank_hash,bank_hash_kind,h_hash_epoch0,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_diagnostic_ms,nan,diverged,solver_failure,status
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,0,0,500,500,2,0.030793445397914405,0.1754806125984133,10.270850778196136,1.0,0.0,,0.0,35.40634026629349,0.25,124.99999999166785,0.2499999999833357,-1.666430882174552e-11,5.770361478055131,0.05100609666147377,0.15499060770278456,0.20584886026087917,solved,31,2,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aa7ff1514751c779014575db386380b85065d507a070c6b109e306a3bfdfbbe,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,,,,,,,,,13.592862989753485,0.0,13.592862989753485,0.0,False,False,False,initial
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,1,0,500,500,2,0.030793445397914405,0.1754806125984133,,,,0.012240647126567554,2.793683898093503,35.40634026629349,0.25,124.99999999166785,0.2499999999833357,-1.666430882174552e-11,5.770361478055131,0.05100609666147377,0.15499060770278456,0.20584886026087917,solved,31,2,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aa7ff1514751c779014575db386380b85065d507a070c6b109e306a3bfdfbbe,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.41765114292502403,0.5111291538923979,0.35352399572730064,1.0003589559346437,1.8136270809918642,0.9590811096131802,0.3967189695686102,5.452090408653021,0.0,5.452090408653021,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,2,1,500,500,2,0.02921385826749537,0.17092061978443493,,,,0.01151694829676246,2.793683898093503,37.07616650640708,0.25,124.99999995024845,0.2499999999004969,-9.95031002037905e-11,5.758313061073819,0.04558929583773144,0.16314823469398126,0.20648652159795147,solved,31,2,6399,4c59c11f613225d31f7f98b61959e7575c5511f9a749fff71a191e3208a8cae1,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.39109098725020885,0.39753993041813374,0.33066095784306526,0.7238870020955801,1.9357108976691961,0.765505013987422,1.0782841127365828,5.622678902000189,0.0,11.07476931065321,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,3,2,500,500,2,0.023506699496915796,0.15331894695997555,,,,0.01301443840479536,2.793683898093503,37.04160913161282,0.25,125.00000004331157,0.25000000008662315,8.662315309493351e-11,5.866374281967519,0.07158941889417156,0.13124781417174028,0.165886774939003,solved,31,3,6401,87d6859fa43dbc057c7206d96a4af671689812819a7e9b4870a4260850be388e,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.24008098989725113,0.3474680706858635,0.32067112624645233,0.8619050495326519,1.8178010359406471,0.6533530540764332,0.17077894881367683,4.412058275192976,0.0,15.486827585846186,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,4,3,500,500,2,0.018532975235483924,0.13613587049519288,,,,0.00886243974772676,2.7936838980935024,71.1541888127582,0.25,124.99999995581179,0.24999999991162358,-8.837641729542156e-11,5.724243439196087,0.06183667141218401,0.1334223764606074,0.19606969327073734,solved,30,3,6404,25e4bdd77bc6f0e59a3b5e133be99511971c9ed954f20e34384eb96524116bd9,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.21281209774315357,0.34477398730814457,0.2908059395849705,0.6073149852454662,2.008924027904868,0.6748028099536896,0.2621249295771122,4.401558777317405,0.0,19.88838636316359,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,5,4,500,500,2,0.01991584153103349,0.14112349744473277,,,,0.012478184937935748,2.793683898093503,44.37870020057248,0.25,125.00000001269075,0.2500000000253815,2.538147469977048e-11,5.866533264965218,0.0732556947160107,0.11844918213873429,0.15337136229882348,solved,31,3,6408,83856b747164a8dd88eeaffee92426f6aa5d3532691bd1b4a78641b2c71350bf,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.20627211779356003,0.19613606855273247,0.21207495592534542,0.5755319725722075,1.8215849995613098,0.673508970066905,0.4739880096167326,4.159097094088793,0.0,24.047483457252383,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,6,5,500,500,2,0.019903342317697786,0.14107920583026326,,,,0.00723459653966675,2.793683898093503,80.71696446848185,0.25,124.99999998277988,0.24999999996555977,-3.444022844689698e-11,5.608657748717321,0.04116580493499041,0.1412720460771831,0.21158880047030804,solved,31,3,6413,47e2c18e24dc57072a8f0abfa7530ba5db6404455691bacc23a60497d1cce59c,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.21177995949983597,0.3543470520526171,0.30056084506213665,1.2488418724387884,2.1917938720434904,0.6570371333509684,0.40609296411275864,5.3704536985605955,0.0,29.41793715581298,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,7,6,500,500,2,0.017855331008705608,0.1336238414681512,,,,0.012268259258182763,2.793683898093503,45.88374322637648,0.25,124.99999997858433,0.24999999995716865,-4.2831349578165145e-11,5.876855954417087,0.07231697826995859,0.12298998811520392,0.16034261222203045,solved,32,3,6419,5868f6515297be1334f553f9df365ab632d5ef8edf639fb4a7317aedf2fb04dc,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.21301093511283398,0.4608430899679661,0.29744813218712807,0.611667986959219,2.386351116001606,0.6772279739379883,0.3609759733080864,5.007525207474828,0.0,34.42546236328781,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,8,7,500,500,2,0.017414329494349727,0.13196336421276067,,,,0.010451234762019248,2.793683898093503,55.16598237124465,0.25,125.00000002516799,0.250000000050336,5.0336013135421354e-11,5.825243047906321,0.06786050991091568,0.13410817753484275,0.17809628035581135,solved,28,3,6426,ab892f114bac21ab0e3c01a4b00e88116c16f5bb1d8ebcdb4502f1ef3d2251f9,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.21216808818280697,0.333941075950861,0.2890659961849451,0.5884179845452309,1.8251859582960606,0.8036561775952578,0.4459188785403967,4.498354159295559,0.0,38.923816522583365,13.592862989753485,54.619882022961974,False,False,False,ok
BNCI2014_001,ebsw_full_ess025,ebsw,full,ess025,normalized,8,6398,9,8,500,500,2,0.015515768465874427,0.12456230756482647,,,,0.008193456118071433,2.793683898093503,77.23027123496709,0.25,124.99999995109445,0.2499999999021889,-9.781109255868614e-11,5.7486712676154665,0.05284558746502239,0.15326315253445644,0.19735168001510095,solved,31,2,6434,5fe6a64c4486fd7e681b8b1ddd6ef9591e6a2da3d152d762c40cbac10dffe005,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.21962402388453484,0.19414210692048073,0.21247402764856815,0.6047680508345366,1.762949163094163,0.6257120985537767,0.3943219780921936,4.0139914490282536,0.0,42.93780797161162,13.592862989753485,54.619882022961974,False,False,False,ok
