dataset,method,family,response,calibration,update,subject,seed,epoch,bank_epoch,epochs,N_proj,p,power_objective,rooted_objective,lew,relative_lew,lew_reduction_pct,raw_gradient_norm,applied_update_norm,beta_t,target_rho,ess,ess_over_N,realized_rho_error,weight_entropy,max_weight,top5_mass,top10_mass,solver_status,solver_iterations,bracket_steps,bank_seed,bank_hash,bank_hash_kind,h_hash_epoch0,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_diagnostic_ms,nan,diverged,solver_failure,status
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,0,0,500,500,2,0.021549985491957385,0.14679913314443443,10.198606317621376,1.0,0.0,,0.0,39.26931065194789,0.37648147522096403,188.24073759582504,0.3764814751916501,-2.9313940164144014e-11,5.911327988570745,0.0428100146965254,0.11119561732967356,0.15363821060672683,solved,31,2,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,full_tensor_sha256,fd8023dcd57243ec156e3fd20798103630e9e3f7884d1ef5c8e8ad12632121fc,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,,,,,,,,,12.139628175646067,0.0,12.139628175646067,0.0,False,False,False,initial
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,1,0,500,500,2,0.021549985491957385,0.14679913314443443,,,,0.0027593611301859502,2.793683898093503,39.26931065194789,0.37648147522096403,188.24073759582504,0.3764814751916501,-2.9313940164144014e-11,5.911327988570745,0.0428100146965254,0.11119561732967356,0.15363821060672683,solved,31,2,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,full_tensor_sha256,fd8023dcd57243ec156e3fd20798103630e9e3f7884d1ef5c8e8ad12632121fc,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.37741404958069324,0.37801405414938927,0.35444204695522785,0.9940501768141985,2.2700889967381954,1.537822186946869,0.42433198541402817,6.336163496598601,0.0,6.336163496598601,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,2,1,500,500,2,0.019436683832886232,0.1394155078636743,,,,0.002782859969729838,2.793683898093503,35.41984992477876,0.37648147522096403,188.2407376593687,0.37648147531873744,9.777340048700012e-11,5.963018421131032,0.04739167746066919,0.10713759830807137,0.1360483522920299,solved,31,2,3655,67eb549a66518bd76a781a4ac011cfacaacfe2ee0b30e8db0c1675242200b412,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.38618408143520355,0.3921820316463709,0.2986371982842684,0.578596955165267,1.7505649011582136,1.103393966332078,0.4138241056352854,4.923383239656687,0.0,11.259546736255288,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,3,2,500,500,2,0.01837170327263423,0.13554225640970505,,,,0.002435231059311081,2.793683898093503,51.51523229444507,0.37648147522096403,188.24073760536223,0.37648147521072445,-1.0239586956117819e-11,5.875027773011976,0.030411206443701405,0.11870753541282698,0.16660084539735323,solved,29,2,3657,0e887bc87b7170528de90c8dcd9a15a674082f7490f3d3af20b2b60842efcb79,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.2175609115511179,0.5262868944555521,0.3516930155456066,1.102939946576953,1.7888839356601238,1.0535749606788158,0.5473608616739511,5.58830052614212,0.0,16.84784726239741,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,4,3,500,500,2,0.014351598945410063,0.11979815919040686,,,,0.002157884201458879,2.793683898093503,76.36812355198272,0.37648147522096403,188.2407376284127,0.3764814752568254,3.586136942956841e-11,5.83561469691496,0.03318265573974465,0.10415836136500597,0.16141710879854115,solved,30,2,3660,75499020d11575ab8bc6801473b47df5ef5d602c480b3c98c4e814b47d2f0e3c,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.38768607191741467,0.36315317265689373,0.30613201670348644,0.9649409912526608,3.416683990508318,2.8560589998960495,0.40376605466008186,8.698421297594905,0.0,25.546268559992313,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,5,4,500,500,2,0.010057674113811638,0.10028795597583809,,,,0.0019907293928749605,2.7936838980935024,63.745341766240706,0.37648147522096403,188.24073759849364,0.37648147519698727,-2.39767650178635e-11,5.991240751444469,0.054949161603227804,0.08716752981775283,0.11917950800696242,solved,28,2,3664,0960d37c7f4e7b7eafbe9dbe030cc24059519ee829b290222e869af82e026c54,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.4132718313485384,0.3443211317062378,0.31947391107678413,0.614185119047761,2.5619929656386375,0.9304180275648832,0.35801087506115437,5.541673861443996,0.0,31.08794242143631,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,6,5,500,500,2,0.010935077150069509,0.10457091923699202,,,,0.0019176054956859237,2.793683898093503,88.85060258847508,0.37648147522096403,188.24073765669013,0.3764814753133803,9.241624132627635e-11,5.870178563269707,0.02943172204877849,0.11405966726715619,0.1721357345983453,solved,31,2,3669,544389856bde841814c88984d97d0222a6d2ae4f0f72b2c92b0e5ffb1449d736,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.38464879617094994,0.4387809894979,0.3089641686528921,0.9544240310788155,2.5169060099869967,3.5545851569622755,0.3322621341794729,8.490571286529303,0.0,39.57851370796561,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,7,6,500,500,2,0.008814577829761219,0.093885983137853,,,,0.0017411717013798864,2.793683898093503,112.28890948223611,0.37648147522096403,188.24073758449038,0.3764814751689808,-5.19832510370577e-11,5.879387321132769,0.03906357756242389,0.11020526979458187,0.15979975994259427,solved,27,2,3675,6b4413466a54b2e74b00d3ef8268ac1c6814832ac88059cdef7a6ddc60aca4d4,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.3200029022991657,0.2337610349059105,0.23558596149086952,1.6858300659805536,1.8837950192391872,3.649130929261446,0.17916900105774403,8.187274914234877,0.0,47.76578862220049,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,8,7,500,500,2,0.006722371717260461,0.08199007084556313,,,,0.0015481350767588135,2.793683898093503,131.62905274247396,0.37648147522096403,188.24073764983083,0.3764814752996617,7.869765950019314e-11,5.910634261117151,0.043144414574865945,0.11052286206646406,0.15725492244373984,solved,31,2,3682,3e6c433cc7e3b754c33adbedfcddde0445d3264bc299e56ef69a2952ef5c767f,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.2152801025658846,0.19535678438842297,0.2144689206033945,0.6048120558261871,2.1912669762969017,0.8592540398240089,0.3480110317468643,4.628449911251664,0.0,52.39423853345215,12.139628175646067,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_essmatch,ebsw,stop,essmatch,normalized,3,3654,9,8,500,500,2,0.005591688982986788,0.07477759679868555,,,,0.00152837529834991,2.793683898093503,111.01277680815468,0.37648147522096403,188.24073759337216,0.37648147518674435,-3.4219682643055194e-11,5.99306408710274,0.054034618123959426,0.09847573735842959,0.12873907924740702,solved,32,2,3690,5c7c12af0a539a6029f376de19a8596c4e2e8528893049d65e9d9135f5acee1c,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.3962789196521044,0.1956119667738676,0.21749897859990597,1.4101250562816858,2.257369924336672,0.7668049074709415,0.3846271429210901,5.628316896036267,0.0,58.02255542948842,12.139628175646067,0.0,False,False,False,ok
