dataset,method,family,response,calibration,update,subject,seed,epoch,bank_epoch,epochs,N_proj,p,power_objective,rooted_objective,lew,relative_lew,lew_reduction_pct,raw_gradient_norm,applied_update_norm,beta_t,target_rho,ess,ess_over_N,realized_rho_error,weight_entropy,max_weight,top5_mass,top10_mass,solver_status,solver_iterations,bracket_steps,bank_seed,bank_hash,bank_hash_kind,h_hash_epoch0,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_diagnostic_ms,nan,diverged,solver_failure,status
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,0,0,500,500,2,0.016439716352724506,0.12821745728536543,10.270850778196136,1.0,0.0,,0.0,,,191.3816668584296,0.3827633337168592,,5.602530706703183,0.024266975188752767,0.07469383295395926,0.12387047533155332,not_applicable,0,0,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,55d1fed11884067772cdad9af5337acb2a285f66b4da1be52b8cda078bfb17cb,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,,,,,,,,,15.340274898335338,0.0,15.340274898335338,0.0,False,False,False,initial
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,1,0,500,500,2,0.016439716352724506,0.12821745728536543,,,,0.0017431194380070258,2.793683898093503,,,191.3816668584296,0.3827633337168592,,5.602530706703183,0.024266975188752767,0.07469383295395926,0.12387047533155332,not_applicable,0,0,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,55d1fed11884067772cdad9af5337acb2a285f66b4da1be52b8cda078bfb17cb,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.279600964859128,1.0478140320628881,0.33695087768137455,0.8763161022216082,0.4083779640495777,1.499685924500227,0.4901471547782421,4.938893020153046,0.0,4.938893020153046,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,2,1,500,500,2,0.015550793540236203,0.12470282089927318,,,,0.001739492904824273,2.793683898093503,,,179.62988154750641,0.35925976309501284,,5.575285287921654,0.027386350692436338,0.08469819521038474,0.13778626225022828,not_applicable,0,0,1789,cf9799963330ced6cf275fc1e781231654a9dd0b2e6c754413ebc3b1d350bebd,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.4627068992704153,0.3489500377327204,0.2997019328176975,0.6638928316533566,0.46551087871193886,1.0086242109537125,0.3864129539579153,3.6357997450977564,0.0,8.574692765250802,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,3,2,500,500,2,0.013372734687880979,0.11564054084913723,,,,0.0015945908926719072,2.793683898093503,,,178.18571120670484,0.3563714224134097,,5.560518590825466,0.015994876701130825,0.06943335583483376,0.1334660269538323,not_applicable,0,0,1791,01a6c3eccb6df756cd3f918ce0e071f04550ab7ee36b1680aa7df9337c9bf1db,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.2110591158270836,0.1947609707713127,0.30283513478934765,0.593170989304781,1.1089229956269264,0.7758110295981169,0.38371910341084003,3.5702793393284082,0.0,12.14497210457921,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,4,3,500,500,2,0.011364713955508737,0.10660541241188806,,,,0.001459673440804724,2.793683898093503,,,174.55777265875543,0.3491155453175109,,5.570763889209596,0.02014656984084589,0.08761395800809693,0.1482363877199931,not_applicable,0,0,1794,b3c22e97c8f20e8421a7cd64815bdcc39842869c7f4e16addfb2d61fc06df0ef,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.2313670702278614,0.3572620917111635,0.2966278698295355,0.5511078052222729,0.5751678254455328,1.0078120976686478,0.37746503949165344,3.3968097995966673,0.0,15.541781904175878,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,5,4,500,500,2,0.008637350922343339,0.09293734944758937,,,,0.0012148181267858142,2.793683898093503,,,185.35237389501808,0.37070474779003615,,5.595488702181404,0.019282713428859517,0.07949948795988192,0.13466912109642287,not_applicable,0,0,1798,cfb96e428a932652bea321911e5d8617a1a90b463be25eb92d98c623f96bd44e,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.20023202523589134,0.47416589222848415,0.2950560301542282,0.5538419354707003,0.5629761144518852,1.088051125407219,1.08391884714365,4.258241970092058,0.0,19.800023874267936,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,6,5,500,500,2,0.006994936561162572,0.08363573734452619,,,,0.0011094753832920766,2.793683898093503,,,192.3247652843101,0.3846495305686202,,5.626395830519402,0.018787690711261736,0.08154379228829392,0.13688631959059808,not_applicable,0,0,1803,07e89665440ef652084ea9f85cf07bda839f7f0d3e14ebbd7b314a204bba31c6,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.4220318514853716,0.38088811561465263,0.3178529441356659,0.803282018750906,0.4460529889911413,0.9575700387358665,0.37017115391790867,3.6978491116315126,0.0,23.49787298589945,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,7,6,500,500,2,0.005636753380822659,0.07507831498390637,,,,0.0009663849098034829,2.793683898093503,,,212.19187602048913,0.4243837520409783,,5.670884870205596,0.018833628473179178,0.061359504338025804,0.10511113557640155,not_applicable,0,0,1809,c29d0b6a46d65402b9871e1fb92f2a077725b4a18474c533faafb0aaa63a83b5,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.20331097766757011,0.4762460011988878,0.2856890205293894,0.5653961561620235,0.5466889124363661,0.7008761167526245,0.489270081743598,3.2674772664904594,0.0,26.765350252389908,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,8,7,500,500,2,0.0043839904580695215,0.0662117093728105,,,,0.0008797578894959989,2.793683898093503,,,215.2301879433459,0.4304603758866918,,5.719310984972363,0.018676301935919275,0.07074729060837913,0.1185212094425177,not_applicable,0,0,1816,c43374600ca6d91413d297ebbe8300803729b4f37fda11f268664766bb6f61a2,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.21074502728879452,0.36169891245663166,0.2904459834098816,1.8517898861318827,0.3917948342859745,0.9313041809946299,0.42091100476682186,4.458689829334617,0.0,31.224040081724524,15.340274898335338,0.0,False,False,False,ok
BNCI2014_001,lpwp_q2,lpwp,none,none,normalized,8,1788,9,8,500,500,2,0.0031683763525704256,0.05628833229516065,,,,0.0007205558097457839,2.793683898093503,,,212.38945044405364,0.42477890088810727,,5.726541209111692,0.017189846632359757,0.07222321080135041,0.12247283300108958,not_applicable,0,0,1824,8ea168199c9fac26db1a87cbc0fcc5b949b24598662a761f3628db904b5a51b8,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.20544114522635937,0.3303880803287029,0.3562069032341242,0.5556740798056126,0.4372759722173214,0.7531801238656044,0.5011109169572592,3.139277221634984,0.0,34.36331730335951,15.340274898335338,0.0,False,False,False,ok
