dataset,method,family,response,calibration,update,subject,seed,epoch,bank_epoch,epochs,N_proj,p,power_objective,rooted_objective,lew,relative_lew,lew_reduction_pct,raw_gradient_norm,applied_update_norm,beta_t,target_rho,ess,ess_over_N,realized_rho_error,weight_entropy,max_weight,top5_mass,top10_mass,solver_status,solver_iterations,bracket_steps,bank_seed,bank_hash,bank_hash_kind,h_hash_epoch0,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_diagnostic_ms,nan,diverged,solver_failure,status
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,0,0,500,500,2,0.018527680701074432,0.13611642333338925,10.270850778196136,1.0,0.0,,0.0,20.98657569709968,0.75,375.0000000085628,0.7500000000171255,1.7125523221750427e-11,6.116642176686902,0.01523435425813993,0.05192713742384959,0.08217157166610131,solved,31,2,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,full_tensor_sha256,111862f03209f36c0cad8bcd1ac8e5eec287bb49b4aa609429b21e3b08e6acd0,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,,,,,,,,,13.333217008039355,0.0,13.333217008039355,0.0,False,False,False,initial
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,1,0,500,500,2,0.018527680701074432,0.13611642333338925,,,,0.013359845266452524,7.870381699074105,20.98657569709968,0.75,375.0000000085628,0.7500000000171255,1.7125523221750427e-11,6.116642176686902,0.01523435425813993,0.05192713742384959,0.08217157166610131,solved,31,2,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,full_tensor_sha256,111862f03209f36c0cad8bcd1ac8e5eec287bb49b4aa609429b21e3b08e6acd0,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.3069560043513775,0.41341991163790226,0.38505601696670055,0.6985119543969631,3.366796998307109,1.6203229315578938,0.10280800051987171,6.893871817737818,0.0,6.893871817737818,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,2,1,500,500,2,0.012924847557731921,0.11368749956671544,,,,0.016101378857026272,9.485439012112726,25.2197255729155,0.75,375.00000000393004,0.75000000000786,7.86004594743872e-12,6.131287391458494,0.0205326545131101,0.05344794649367937,0.0774869259432093,solved,32,2,3655,67eb549a66518bd76a781a4ac011cfacaacfe2ee0b30e8db0c1675242200b412,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.4157919902354479,0.35679503343999386,0.32227300107479095,1.2658510822802782,3.039489034563303,1.255176030099392,0.17030094750225544,6.825677119195461,0.0,13.719548936933279,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,3,2,500,500,2,0.009900809568480346,0.09950281186217978,,,,0.014004829325763574,8.250346484245913,39.520423343147996,0.75,374.9999999520667,0.7499999999041334,-9.586664795335764e-11,6.121565642391015,0.01925886559123951,0.05059157614269657,0.07849466033973555,solved,30,2,3657,0e887bc87b7170528de90c8dcd9a15a674082f7490f3d3af20b2b60842efcb79,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.3322521224617958,0.36657718010246754,0.3108019009232521,2.5089760310947895,1.891446067020297,6.679837126284838,0.1575751230120659,12.247465550899506,0.0,25.967014487832785,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,4,3,500,500,2,0.006980049542243695,0.08354669079169859,,,,0.011843073850611886,6.97684066212161,71.37069264070115,0.75,375.00000002180167,0.7500000000436033,4.360334315833825e-11,6.104628081161987,0.014401860246097504,0.04721639446856127,0.07848226562246265,solved,30,2,3660,75499020d11575ab8bc6801473b47df5ef5d602c480b3c98c4e814b47d2f0e3c,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.3143351059406996,0.49832602962851524,0.30619604513049126,2.1472249645739794,1.9100690260529518,0.8044620044529438,0.14966120943427086,6.130274385213852,0.0,32.09728887304664,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,5,4,500,500,2,0.004165657893563813,0.0645419080409296,,,,0.01470065315056799,8.660261343834296,92.68667670075814,0.75,374.9999999581052,0.7499999999162105,-8.378953086918273e-11,6.1235985312746415,0.0177613366535712,0.05444605304296288,0.08071764961797458,solved,31,2,3664,0960d37c7f4e7b7eafbe9dbe030cc24059519ee829b290222e869af82e026c54,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.2930988557636738,0.49639097414910793,0.29948586598038673,0.9732360485941172,2.100392011925578,1.3458121102303267,0.15903101302683353,5.667446879670024,0.0,37.76473575271666,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,6,5,500,500,2,0.0024744477374407255,0.049743821098109514,,,,0.011435625733814828,6.736810022708876,214.16752362785195,0.75,375.0000000215432,0.7500000000430864,4.3086423318072775e-11,6.103950395378436,0.011153646837740753,0.048139864167292434,0.08137182644580043,solved,29,2,3669,544389856bde841814c88984d97d0222a6d2ae4f0f72b2c92b0e5ffb1449d736,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.39136200211942196,0.3369899932295084,0.3184222150593996,3.633130807429552,1.9124709069728851,0.7124221883714199,0.06075599230825901,7.365554105490446,0.0,45.13028985820711,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,7,6,500,500,2,0.0015065016659651697,0.03881367885121391,,,,0.014285325273324679,8.41558868041811,298.38449997497935,0.75,374.99999999219267,0.7499999999843854,-1.5614620707538052e-11,6.130621377591364,0.022143027609044998,0.04809535619523944,0.07294677016500674,solved,32,2,3675,6b4413466a54b2e74b00d3ef8268ac1c6814832ac88059cdef7a6ddc60aca4d4,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.22329902276396751,0.4509009886533022,0.2923528663814068,0.910959905013442,4.865960916504264,1.5510621014982462,0.14003808610141277,8.434573886916041,0.0,53.56486374512315,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,8,7,500,500,2,0.0017121783194347087,0.04137847652384883,,,,0.011277703855212472,6.643777099164739,321.5577916554065,0.75,374.9999999793162,0.7499999999586324,-4.136757603134811e-11,6.107901151784034,0.013473849906008606,0.04840566472226428,0.07955712343384225,solved,30,2,3682,3e6c433cc7e3b754c33adbedfcddde0445d3264bc299e56ef69a2952ef5c767f,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.26686512865126133,0.32989680767059326,0.3176031168550253,1.2128138914704323,2.7607660740613937,3.3380859531462193,0.1961919479072094,8.422222919762135,0.0,61.98708666488528,13.333217008039355,54.44854707457125,False,False,False,ok
BNCI2014_001,ebsw_full_ess075,ebsw,full,ess075,raw_rooted,8,3654,9,8,500,500,2,0.001207246136976121,0.03474544771586806,,,,0.013833137414069203,8.149201534380992,382.568741871462,0.75,375.0000000035273,0.7500000000070546,7.05457914307317e-12,6.130421271682842,0.021073597686801376,0.05322602084148616,0.0787098390408438,solved,31,2,3690,5c7c12af0a539a6029f376de19a8596c4e2e8528893049d65e9d9135f5acee1c,three_row_sha256,,123ea5ce324bb82567913e1514a410f2bb582a6d8528a6ea98fbb2b74646f92c,a789b01b17129967eecd25421cde715dc938f6e3b95b30f735ff978f0882361e,0.3443029709160328,1.0235728695988655,0.2966418396681547,0.6417250260710716,1.8733388278633356,0.751744955778122,0.15794113278388977,5.089267622679472,0.0,67.07635428756475,13.333217008039355,54.44854707457125,False,False,False,ok
