dataset,method,family,response,calibration,update,subject,seed,epoch,bank_epoch,epochs,N_proj,p,power_objective,rooted_objective,lew,relative_lew,lew_reduction_pct,raw_gradient_norm,applied_update_norm,beta_t,target_rho,ess,ess_over_N,realized_rho_error,weight_entropy,max_weight,top5_mass,top10_mass,solver_status,solver_iterations,bracket_steps,bank_seed,bank_hash,bank_hash_kind,h_hash_epoch0,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_diagnostic_ms,nan,diverged,solver_failure,status
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,0,0,500,500,2,0.010960277386058762,0.10469134341510172,7.00240537723237,1.0,0.0,,0.0,109.60944512988155,0.37648147522096403,188.24073756949687,0.37648147513899377,-8.197026390988071e-11,5.8146395365578964,0.029390535774776693,0.10060679910471107,0.15836094312934,solved,31,2,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,8b31c5b8296f0ada881b4d914142c5ffe1911990dafa14756825ef9cdfaac6db,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,,,,,,,,,14.437105040997267,0.0,14.437105040997267,0.0,False,False,False,initial
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,1,0,500,500,2,0.010960277386058762,0.10469134341510172,,,,0.019223684906320076,11.324812141004918,109.60944512988155,0.37648147522096403,188.24073756949687,0.37648147513899377,-8.197026390988071e-11,5.8146395365578964,0.029390535774776693,0.10060679910471107,0.15836094312934,solved,31,2,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,8b31c5b8296f0ada881b4d914142c5ffe1911990dafa14756825ef9cdfaac6db,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.38180197589099407,0.3696419298648834,0.36721816286444664,0.8821210358291864,2.176920184865594,1.2127300724387169,0.19642501138150692,5.586858373135328,0.0,5.586858373135328,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,2,1,500,500,2,0.0075751681741000705,0.0870354420572451,,,,0.023567497852600934,13.883783838263797,124.44750469817419,0.37648147522096403,188.2407376109984,0.3764814752219968,1.0327849686575519e-12,5.874159348904618,0.032067405005313965,0.11356243125277521,0.1742635045489726,solved,32,2,1789,cf9799963330ced6cf275fc1e781231654a9dd0b2e6c754413ebc3b1d350bebd,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.36723888479173183,0.38317195139825344,0.30317483469843864,0.7810050155967474,2.1177809685468674,2.9630649369210005,0.3058728761970997,7.221309468150139,0.0,12.808167841285467,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,3,2,500,500,2,0.007351534754286628,0.08574109139897058,,,,0.02577302003193626,15.183072943110743,124.9088292396643,0.37648147522096403,188.24073760641951,0.37648147521283903,-8.125000672265514e-12,5.899565521842943,0.04486042684974996,0.10191529667634841,0.15216132556063067,solved,30,2,1791,01a6c3eccb6df756cd3f918ce0e071f04550ab7ee36b1680aa7df9337c9bf1db,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.23326603695750237,0.5055619403719902,0.2941722050309181,0.9812230709940195,3.223658073693514,3.2832399010658264,0.2017701044678688,8.72289133258164,0.0,21.531059173867106,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,4,3,500,500,2,0.008011196506410422,0.08950528758911633,,,,0.02835158266872945,16.702122885814322,101.88756816738076,0.37648147522096403,188.2407376212409,0.3764814752424818,2.151778755177247e-11,5.924653321249139,0.034340023044548695,0.12094182807924937,0.1519995479332006,solved,30,2,1794,b3c22e97c8f20e8421a7cd64815bdcc39842869c7f4e16addfb2d61fc06df0ef,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.23821182548999786,0.3779649268835783,0.29176194220781326,0.7987050339579582,1.995706930756569,0.8350829593837261,0.07554399780929089,4.612977616488934,0.0,26.14403679035604,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,5,4,500,500,2,0.010252475196013536,0.10125450704049443,,,,0.028783507090071603,16.95657269367629,72.67219382455625,0.37648147522096403,188.24073756130934,0.3764814751226187,-9.834533187813577e-11,5.93603723961418,0.03949478523146039,0.11280689881753792,0.15277351645582693,solved,30,2,1798,cfb96e428a932652bea321911e5d8617a1a90b463be25eb92d98c623f96bd44e,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.25736610405147076,0.19997218623757362,0.22082007490098476,0.7225989829748869,2.0100828260183334,2.9824189841747284,0.06828410550951958,6.4615432638674974,0.0,32.60558005422354,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,6,5,500,500,2,0.010274601512494218,0.10136370905059769,,,,0.025324318734289062,14.918739755792995,87.47423258809806,0.37648147522096403,188.2407375948027,0.37648147518960545,-3.1358582397444934e-11,5.903698120174071,0.04586961175026853,0.10215222520247506,0.14588643136687673,solved,31,2,1803,07e89665440ef652084ea9f85cf07bda839f7f0d3e14ebbd7b314a204bba31c6,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.6887090858072042,0.2205211203545332,0.2943009603768587,3.058935981243849,2.2717469837516546,0.6799760740250349,0.17186696641147137,7.386057171970606,0.0,39.99163722619414,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,7,6,500,500,2,0.010877774761559532,0.10429657118793279,,,,0.022737092380057524,13.3945859543386,94.9427421042353,0.37648147522096403,188.24073763578374,0.3764814752715675,5.0603465862053554e-11,5.861562777195832,0.03858408467042587,0.10875935944280439,0.1570919118087704,solved,31,2,1809,c29d0b6a46d65402b9871e1fb92f2a077725b4a18474c533faafb0aaa63a83b5,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.5019630771130323,0.4875620361417532,0.3041259478777647,0.9154698345810175,2.495003864169121,3.36359697394073,0.14815106987953186,8.21587280370295,0.0,48.207510029897094,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,8,7,500,500,2,0.008251331056156327,0.09083683755039211,,,,0.032618566647268955,19.21583408120282,80.17177100162098,0.37648147522096403,188.24073759795215,0.3764814751959043,-2.505973206723411e-11,5.972416916025367,0.04962338485470254,0.10114434599829089,0.1305484819970028,solved,32,2,1816,c43374600ca6d91413d297ebbe8300803729b4f37fda11f268664766bb6f61a2,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.4191689658910036,0.3299820236861706,0.33732596784830093,0.86075603030622,2.5975231546908617,1.7197979614138603,0.1591830514371395,6.423737155273557,0.0,54.63124718517065,14.437105040997267,62.94351117685437,False,False,False,ok
BNCI2014_001,ebsw_full_essmatch,ebsw,full,essmatch,raw_rooted,1,1788,9,8,500,500,2,0.01321555353755578,0.11495892108729874,,,,0.028233231857097116,16.632401564693886,60.63765945491525,0.37648147522096403,188.24073759891405,0.3764814751978281,-2.3135937610163637e-11,5.926836666267657,0.048237476889532394,0.09719634484517735,0.14196639912665002,solved,32,2,1824,8ea168199c9fac26db1a87cbc0fcc5b949b24598662a761f3628db904b5a51b8,three_row_sha256,,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,1.7318190075457096,0.3366810269653797,0.32163108699023724,0.8499231189489365,2.3498961236327887,2.2826390340924263,0.1639840193092823,8.03657341748476,0.0,62.66782060265541,14.437105040997267,62.94351117685437,False,False,False,ok
