dataset,method,family,response,calibration,update,subject,seed,epoch,bank_epoch,epochs,N_proj,p,power_objective,rooted_objective,lew,relative_lew,lew_reduction_pct,raw_gradient_norm,applied_update_norm,beta_t,target_rho,ess,ess_over_N,realized_rho_error,weight_entropy,max_weight,top5_mass,top10_mass,solver_status,solver_iterations,bracket_steps,bank_seed,bank_hash,bank_hash_kind,h_hash_epoch0,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_diagnostic_ms,nan,diverged,solver_failure,status
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,0,0,500,500,2,0.08447849569580439,0.29065184619369683,10.198606317621376,1.0,0.0,,0.0,122.7769233819667,,1.8092715840115594,0.003618543168023119,,1.216856425092717,0.7314639826809239,0.9356507866347842,0.9591199440345191,fixed_beta,0,0,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,full_tensor_sha256,fd8023dcd57243ec156e3fd20798103630e9e3f7884d1ef5c8e8ad12632121fc,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,,,,,,,,,15.437134075909853,0.0,15.437134075909853,0.0,False,False,False,initial
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,1,0,500,500,2,0.08447849569580439,0.29065184619369683,,,,0.047774843472831764,28.144506635034336,122.7769233819667,,1.8092715840115594,0.003618543168023119,,1.216856425092717,0.7314639826809239,0.9356507866347842,0.9591199440345191,fixed_beta,0,0,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,full_tensor_sha256,fd8023dcd57243ec156e3fd20798103630e9e3f7884d1ef5c8e8ad12632121fc,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.43425802141427994,0.3624649252742529,0.3375229425728321,0.6952960975468159,0.3958209417760372,0.9048471692949533,0.1798630692064762,3.3100731670856476,0.0,3.3100731670856476,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,2,1,500,500,2,0.10645294184081537,0.3262712703270323,,,,0.033599433930585634,19.79367010863205,122.7769233819667,,3.696320139597725,0.00739264027919545,,1.729272902297466,0.45153404031125416,0.9195962542646399,0.9694148378775762,fixed_beta,0,0,3655,67eb549a66518bd76a781a4ac011cfacaacfe2ee0b30e8db0c1675242200b412,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.3861610312014818,1.8909629434347153,0.300002982839942,0.5825159605592489,0.6154668517410755,0.7969089783728123,0.17851311713457108,4.750531865283847,0.0,8.060605032369494,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,3,2,500,500,2,0.14268873543361027,0.3777416252329233,,,,0.05533949977036354,32.600900500117525,122.7769233819667,,1.2732563020031131,0.0025465126040062265,,0.4413478327691014,0.8796677100399576,0.9936789225559676,0.9976462961415692,fixed_beta,0,0,3657,0e887bc87b7170528de90c8dcd9a15a674082f7490f3d3af20b2b60842efcb79,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.19985483959317207,0.3359219990670681,0.2875691279768944,0.564181013032794,0.4383050836622715,0.741811003535986,0.21872017532587051,2.7863632421940565,0.0,10.846968274563551,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,4,3,500,500,2,0.27509125356090003,0.5244914237248308,,,,0.05560817589725314,32.75917955424399,122.7769233819667,,1.1979726447091168,0.0023959452894182338,,0.3058673677461199,0.9091292349647051,0.9999988201052566,0.9999999826123136,fixed_beta,0,0,3660,75499020d11575ab8bc6801473b47df5ef5d602c480b3c98c4e814b47d2f0e3c,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,1.7269381787627935,0.19294279627501965,0.2106870524585247,0.5601479206234217,0.5858310032635927,0.8020258974283934,0.2164540346711874,4.295026883482933,0.0,15.141995158046484,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,5,4,500,500,2,0.348274714610811,0.5901480446555856,,,,0.06076900825098729,35.799463307440796,122.7769233819667,,1.0033530217428366,0.002006706043485673,,0.012996960603881459,0.9983265547149718,0.9999999925618942,0.9999999992180395,fixed_beta,0,0,3664,0960d37c7f4e7b7eafbe9dbe030cc24059519ee829b290222e869af82e026c54,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.25714701041579247,0.3303789999336004,0.2919400576502085,0.5438798107206821,0.2876950893551111,0.563192181289196,0.26198592968285084,2.5362190790474415,0.0,17.678214237093925,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,6,5,500,500,2,0.522480798683028,0.7228283327893477,,,,0.060806941718110394,35.82181018792284,122.7769233819667,,1.001891865308235,0.00200378373061647,,0.0075749342817998866,0.999054968492011,0.9999999999999035,0.999999999999999,fixed_beta,0,0,3669,544389856bde841814c88984d97d0222a6d2ae4f0f72b2c92b0e5ffb1449d736,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.19877683371305466,0.35679503343999386,0.387831125408411,0.5652441177517176,0.284701818600297,0.7977948989719152,0.04933401942253113,2.6404778473079205,0.0,20.318692084401846,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,7,6,500,500,2,0.3841578177801497,0.6198046609861446,,,,0.06084013734089882,35.84136596996018,122.7769233819667,,1.0007038652757518,0.0020014077305515036,,0.0031763056463067125,0.9996481928394485,0.9999999851202939,0.9999999988908073,fixed_beta,0,0,3675,6b4413466a54b2e74b00d3ef8268ac1c6814832ac88059cdef7a6ddc60aca4d4,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.19140401855111122,0.4230660852044821,0.3007638733834028,0.8357781916856766,0.3343250136822462,0.6118528544902802,0.14267186634242535,2.8398619033396244,0.0,23.15855398774147,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,8,7,500,500,2,0.3591966125699378,0.5993301365440735,,,,0.04064180154567393,23.94237992454001,122.7769233819667,,2.2755238256364736,0.004551047651272947,,0.9627103493410384,0.5523471760470124,0.9984219714094729,0.9999577948082381,fixed_beta,0,0,3682,3e6c433cc7e3b754c33adbedfcddde0445d3264bc299e56ef69a2952ef5c767f,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.207151984795928,0.5213050171732903,0.2936180680990219,0.5893390625715256,0.47108600847423077,0.9141732007265091,0.1636040396988392,3.160277381539345,0.0,26.318831369280815,15.437134075909853,0.0,False,False,False,ok
BNCI2014_001,ebsw_stop_bscale,ebsw,stop,bscale,raw_rooted,3,3654,9,8,500,500,2,0.4660719771550263,0.6826946441528792,,,,0.058986160409087156,34.74917471896746,122.7769233819667,,1.0666542080252392,0.0021333084160504783,,0.1426044894959093,0.9677130270410248,0.9999999979763922,0.9999999999157809,fixed_beta,0,0,3690,5c7c12af0a539a6029f376de19a8596c4e2e8528893049d65e9d9135f5acee1c,three_row_sha256,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.22845808416604996,0.3484059125185013,0.29370514675974846,0.6687531713396311,0.2936560194939375,1.2583981733769178,0.20252983085811138,3.2939063385128975,0.0,29.612737707793713,15.437134075909853,0.0,False,False,False,ok
