dataset,phase,control,method,subject,seed,mean_consecutive_spearman,median_consecutive_spearman,mean_consecutive_top5_overlap,fraction_directions_ever_top5,mean_absolute_rank_transition,median_weight_entropy,median_effective_directions
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,2,1788,0.9945921862486702,0.9983114446529082,0.9967935871743486,0.275,0.3839679358717435,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,3,1788,0.9752292577650611,0.980487804878049,0.9963927855711423,0.325,1.6754509018036072,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,4,1788,0.978602232607805,0.9831144465290809,0.9955911823647294,0.35,1.5067134268537075,3.5653840079794463,31.364932507994244
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,2,3654,0.9828147852929124,0.9870544090056286,0.9955911823647294,0.35,1.1399799599198397,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,3,3654,0.985098527260901,0.9894934333958726,0.9979959919839679,0.25,1.0345691382765532,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,4,3654,0.9689882579417747,0.9727954971857412,0.9959919839679359,0.375,1.8769539078156312,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,2,6398,0.9942865092285887,0.9983114446529082,0.9967935871743486,0.325,0.4089178356713427,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,3,6398,0.9890982715900848,0.9930581613508443,0.9983967935871744,0.225,0.8527054108216433,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_lns_k40_s0p5,4,6398,0.9813183590445432,0.9859287054409007,0.9971943887775552,0.3,1.2949899799599198,3.5653840079794463,31.36493250799425
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,2,1788,0.9981020201754354,0.9996247654784242,0.9931863727454909,0.425,0.18937875751503006,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,3,1788,0.9854782736204116,0.9866791744840527,0.9903807615230461,0.4,0.9974949899799599,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,4,1788,0.9972105561968216,0.9994371482176362,0.9907815631262524,0.525,0.2467935871743487,3.6888794541139367,39.99999999999999
Schirrmeister2017,development,normalized_update,fixed_spdsw_k40,2,3654,0.9958524929784524,0.9984990619136962,0.9967935871743486,0.3,0.31623246492985974,3.6888794541139367,39.99999999999999
