dataset,phase,control,method,sampling,aggregation,reference,subject,seed,epoch,k,sigma,training_power_loss,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top5_weight,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_optimization_epoch_ms,one_time_fixed_bank_sampling_ms,one_time_fixed_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_ambient_projection_count,cumulative_direction_draw_count,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,0,40,0.0,,,71.12992527977092,1.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.100503005087376,0,0,,7.3473173386245945,False,False,initial
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,1,40,0.0,0.0010901127729709432,0.03301685589166454,,,,,0.00035022066719489264,7.3473173386245945,0.0010901127729709432,0.0019074903298039643,0.010091619042569359,5.902342397140242e-05,3.6888794541139367,39.99999999999999,0.025,0.125,3654.0,40a8e388ff298edb11aca9e42ac5b6c68bac0850c7545375ce774bcac824978f,full_tensor_sha256,2e9bfa4f14649d6486c33f933e70b4741d81eb8836d426cbf9dec95cd026c46c,0.29796105809509754,0.8764150552451611,0.24238787591457367,0.6364809814840555,0.06407685577869415,1.4962931163609028,0.4374950658529997,4.051110008731484,0.0,0.0,4.051110008731484,30.100503005087376,80,40,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,2,40,0.0,0.0014548801185986086,0.03814289080023443,,,,,0.0004030403225874947,7.3473173386245945,0.0014548801185986086,0.0016147517563041944,0.006431012719205162,3.99498506459434e-05,3.6888794541139367,39.99999999999999,0.025,0.125,3655.0,c9fc27fde759bc673ce4599ef44c1a08d12983754d9ff7a1ead9baac835d6955,full_tensor_sha256,54ed3c5ba4b3f533bb3ebb83151a71e1ddf1f40012fc3a5ba5d7527025b94a28,0.2105690073221922,0.8605471812188625,0.2126428298652172,0.5358429625630379,0.046501168981194496,0.9429359342902899,0.4216639790683985,3.2307030633091927,0.0,0.0,7.281813072040677,30.100503005087376,160,80,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,3,40,0.0,0.0016223823651229192,0.0402788078910352,,,,,0.0004314788481016527,7.3473173386245945,0.0016223823651229192,0.002153934901187874,0.01241138339770317,4.932378947279101e-05,3.6888794541139367,39.99999999999999,0.025,0.125,3657.0,d4e394cbf843ed5420e9f653dfc8ca1bf05982041c15e59b743e7234466d9bb0,full_tensor_sha256,19d8ed0f8e776eab6ac2b24e4ce8a94e015e90951d9793f87a345170e18841c9,0.18921494483947754,0.8601758163422346,0.20460202358663082,0.5058590322732925,0.04467694088816643,0.9251430165022612,0.4193319473415613,3.1490037217736244,0.0,0.0,10.430816793814301,30.100503005087376,240,120,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,4,40,0.0,0.0014204369967247311,0.03768868526129203,,,,,0.00040345592021555,7.3473173386245945,0.0014204369967247311,0.0016184623156220988,0.009019552951387969,8.553984081810097e-05,3.6888794541139367,39.99999999999999,0.025,0.125,3660.0,3064cc194f00fea9d0d3c59d58e7c71d44e1095d7d9d4dd34d175c175a2b0be5,full_tensor_sha256,54104dc5f8bf0b4623e2f1ec04a9ca0412eab6b6c5227430b43bdd4df742394b,0.19323290325701237,0.8584470488131046,0.20342995412647724,0.49553392454981804,0.04428904503583908,0.9721680544316769,0.41471305303275585,3.181813983246684,0.0,0.0,13.612630777060986,30.100503005087376,320,160,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,5,40,0.0,0.0010809566471342853,0.03287790515124535,,,,,0.0003520591629213766,7.3473173386245945,0.0010809566471342853,0.0013468772465180677,0.006468171506872604,0.00011000159509496696,3.6888794541139367,39.99999999999999,0.025,0.125,3664.0,63a6cad48815383012dbe2240500ea744ef56df7e511029c1571909b042f44ff,full_tensor_sha256,f99991c91f5edd13afd75d3709fc45bd409d4231e71bc182e5060dc44b074139,0.1839620526880026,0.8549001067876816,0.20217313431203365,0.5011959001421928,0.043408945202827454,0.9188239928334951,0.4164581187069416,3.120922250673175,0.0,0.0,16.73355302773416,30.100503005087376,400,200,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,6,40,0.0,0.001414155481748389,0.03760525869806494,,,,,0.00040227313750699296,7.3473173386245945,0.001414155481748389,0.0013713405460538887,0.005285555413360961,5.078571191325186e-05,3.6888794541139367,39.99999999999999,0.025,0.125,3669.0,7a5008585112bc0db0b2d1ade4c708d518340cec63982b02ee855317b0855699,full_tensor_sha256,ddf39e740955251a88cb82d57e21bca7ed78eb160aaaa7b943743c19a3c311d3,0.1845879014581442,0.862897140905261,0.20221900194883347,0.5000929813832045,0.04294002428650856,0.987448962405324,0.4191459156572819,3.1993319280445576,0.0,0.0,19.932884955778718,30.100503005087376,480,240,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,7,40,0.0,0.0018374187119499477,0.04286512232514854,,,,,0.0004533503050595561,7.3473173386245945,0.0018374187119499477,0.0020693537956419485,0.008554764885699808,0.0001235601881008609,3.6888794541139367,39.99999999999999,0.025,0.125,3675.0,81872d87f1fea4b7a70342639162c59653d60389decc1490b192d3c3aa51d6a7,full_tensor_sha256,29c5299e208b31cafd912717e7a40d04249cda791cc21de2bbabaa543af619d7,0.19477098248898983,0.8576628752052784,0.20519387908279896,0.5029300227761269,0.044203829020261765,0.9280580561608076,0.41546905413269997,3.1482886988669634,0.0,0.0,23.08117365464568,30.100503005087376,560,280,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,8,40,0.0,0.0017793037233465655,0.04218179374263932,,,,,0.00045075237194680263,7.3473173386245945,0.0017793037233465655,0.0019377566512555624,0.007666377178663176,7.112188919847814e-05,3.6888794541139367,39.99999999999999,0.025,0.125,3682.0,eafab1f1b1307ba24505abf2e3156875d9c4bc3e0260c91c076bd7eb2d3397fa,full_tensor_sha256,4745bf126c96a04e66ccfa33b18e244167870bf0a1ce3d60c042b03d485a412d,0.18631108105182648,0.8557338733226061,0.20262994803488255,0.5037952214479446,0.045105116441845894,0.9207238908857107,0.4170609172433615,3.131360048428178,0.0,0.0,26.21253370307386,30.100503005087376,640,320,,7.3473173386245945,False,False,ok
Schirrmeister2017,development,normalized_update,resampled_spdsw_k40,resampled,uniform,False,3,3654,9,40,0.0,0.0013012891184184991,0.03607338518102368,,,,,0.00038442022233707893,7.3473173386245945,0.0013012891184184991,0.0015433137452861196,0.0066326003060464996,7.333719664414993e-05,3.6888794541139367,39.99999999999999,0.025,0.125,3690.0,7b6637e32f44ede120fa68627d28ceb98be09204ad9737411c74bd5305596583,full_tensor_sha256,8c97b54fda36cfeedf069477bec2c5712ae6648b8c11205a03797a4dd507cdf4,0.1831469126045704,0.8668520022183657,0.2033519558608532,0.5043840501457453,0.043757958337664604,0.9200859349220991,0.41504809632897377,3.136626910418272,0.0,0.0,29.34916061349213,30.100503005087376,720,360,,7.3473173386245945,False,False,ok
