dataset,phase,control,method,sampling,aggregation,reference,subject,seed,epoch,k,sigma,training_power_loss,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top5_weight,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_optimization_epoch_ms,one_time_fixed_bank_sampling_ms,one_time_fixed_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_ambient_projection_count,cumulative_direction_draw_count,learning_rate,normalized_step_target,nan,diverged,status
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,0,500,0.0,,,92.15362001420182,1.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.04598687402904,0,0,3000.0,,False,False,initial
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,1,500,0.0,0.002131589249003287,0.046169137408048753,,,,,0.00014824890826958462,0.4447467248087539,0.002131589249003287,0.0027155332743280195,0.020394384525123523,9.12758639177e-05,6.214608098422191,500.0000000000001,0.002,0.01,1788.0,7eeffdc893b5637f5f605469d677d3677d62bb30de6fb4fb142d251f2dbaae2c,three_row_sha256_reference_only,8aaa901213c2669b610af5380b7105bdb9c6f7adcd8e7c5d1e85eef79cea1668,0.812774058431387,5.4468929301947355,1.2685449328273535,0.5897509399801493,0.05183112807571888,6.161900004372001,0.20280596800148487,14.53449996188283,0.0,0.0,14.53449996188283,30.04598687402904,1000,500,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,2,500,0.0,0.0021447774585817694,0.04631174212423637,,,,,0.0001503749938829827,0.45112498164894804,0.0021447774585817694,0.0024371428526749946,0.021006080127325077,5.022735238142735e-05,6.214608098422191,500.0000000000001,0.002,0.01,1789.0,221861d52e294ef90be7aa0fa668b7c2663ab6ef8321c6adf5d6e30955967b01,three_row_sha256_reference_only,f022701cf58c21e9d0afbe8b0b85c69f7936173cf3e565a3fc18bfc0dd8177d7,0.806374941021204,5.438738968223333,1.2658271007239819,0.5525711458176374,0.04800991155207157,5.777608137577772,0.2045219298452139,14.093652134761214,0.0,0.0,28.628152096644044,30.04598687402904,2000,1000,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,3,500,0.0,0.0021445862721250924,0.04630967795315675,,,,,0.00014821741140951843,0.44465223422855527,0.0021445862721250924,0.0023851892616874033,0.015874090876903044,6.318121058885797e-05,6.214608098422191,500.0000000000001,0.002,0.01,1791.0,e0bfad354ce5aa8b94e14b7b5c1c37f9c104eabe62631d4b846d8ad00ad6ab43,three_row_sha256_reference_only,2d058c6470f6116eebafcc6131dbae8cb0c7093e1ec2cba4e2bd3408ee641da9,0.8077858947217464,5.4378327913582325,1.2660901993513107,0.5352750886231661,0.04659895785152912,6.078738020732999,0.20569795742630959,14.378018910065293,0.0,0.0,43.00617100670934,30.04598687402904,3000,1500,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,4,500,0.0,0.00204670877345321,0.04524056557397586,,,,,0.00014604577115730699,0.43813731347192086,0.00204670877345321,0.0020726284002644656,0.013158205467674385,4.788360152694172e-05,6.214608098422191,500.0000000000001,0.002,0.01,1794.0,a412747b59de7ba9f512704951d8048d0fbb7b6cbb3e90120941d0dced4b44ba,three_row_sha256_reference_only,82e7b8cedda0ee0134424be3e68f735bdbac6812814e0c1b2bcb86c35cfaf1be,0.8067220915108919,5.449617048725486,1.2591241393238306,0.5209920927882195,0.0491999089717865,6.059036124497652,0.20833010785281658,14.353021513670683,0.0,0.0,57.35919252038002,30.04598687402904,4000,2000,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,5,500,0.0,0.002103076147386319,0.045859308186957194,,,,,0.00014802835239033173,0.4440850571709952,0.002103076147386319,0.00231713600741313,0.017237185831571925,4.2633842712272465e-05,6.214608098422191,500.0000000000001,0.002,0.01,1798.0,f9b6926bc22e27ea1560df86b71d1135a797f2c7377780b3f92f50cdc169affd,three_row_sha256_reference_only,f8551b14b12100b17e3028ac43cbaa56874bb41a321164c826f04e81a4f115ea,0.816501909866929,5.435331026092172,1.261141151189804,0.5378979258239269,0.046944012865424156,6.065130932256579,0.20283902995288372,14.365785988047719,0.0,0.0,71.72497850842774,30.04598687402904,5000,2500,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,6,500,0.0,0.0025311219037965627,0.0503102564473345,,,,,0.00016371632280970475,0.49114896842911426,0.0025311219037965627,0.0028180378507275923,0.017439079747398847,4.314301483555019e-05,6.214608098422191,500.0000000000001,0.002,0.01,1803.0,eb992d4b15479d00d54dc2712b78f0365c632af765dc1b1f5aa993385640d2b0,three_row_sha256_reference_only,8f3e43d2dd4d8357b6d069ee9f0a42b7a18ece9079b50b4bc2c8130fe1a90018,0.8055740036070347,5.446682218462229,1.2592829298228025,0.5288340616971254,0.04664412699639797,6.024516886100173,0.20568002946674824,14.31721425615251,0.0,0.0,86.04219276458025,30.04598687402904,6000,3000,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,7,500,0.0,0.0020264223910084443,0.045015801570209145,,,,,0.0001439519001773048,0.4318557005319144,0.0020264223910084443,0.0020492068512437535,0.013159914920842827,6.360592797445085e-05,6.214608098422191,500.0000000000001,0.002,0.01,1809.0,3e652496fcc430c501d204a1954c754d9f995f0dc5ac963c5473fe3b609575ae,three_row_sha256_reference_only,bb181966ff88eb36a659641bdb0a170fe3edf7467ba37d4b0e8e2d6bf4541732,0.8090599440038204,5.434182938188314,1.264495076611638,0.5360150244086981,0.0466848723590374,5.9892169665545225,0.20331190899014473,14.282966731116176,0.0,0.0,100.32515949569643,30.04598687402904,7000,3500,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,8,500,0.0,0.002118807807880399,0.04603050953313899,,,,,0.00014708791795861934,0.441263753875858,0.002118807807880399,0.0021980685667426806,0.014005942856616535,4.221918013252475e-05,6.214608098422191,500.0000000000001,0.002,0.01,1816.0,dd238e3f81196c49a77683995b4c904146c0ba14e10f5f8ff802c898aa0c55fd,three_row_sha256_reference_only,2da969a312f2afe6e56d2696591f4d9001967d5c336367a800f5db011a0d3fee,0.806956086307764,5.437419982627034,1.2638240586966276,0.5250500980764627,0.04646112211048603,6.039524218067527,0.20494498312473297,14.324180549010634,0.0,0.0,114.64934004470706,30.04598687402904,8000,4000,3000.0,,False,False,ok
Schirrmeister2017,development,raw_sgd_lr3000,resampled_spdsw_l500_reference,resampled,uniform,True,2,1788,9,500,0.0,0.0019842186045404006,0.04454456874345514,,,,,0.00014362945588515706,0.43088836765547117,0.0019842186045404006,0.0019106485154977073,0.012259306511609218,4.8073478422049426e-05,6.214608098422191,500.0000000000001,0.002,0.01,1824.0,d4fed5abdd9d070405dc0333e6eadedea68573d564b5a2aad28b617e3a09d868,three_row_sha256_reference_only,bcc4056d5193be370c936f3bfeb839c090a6dce3b1465a0da7d2ee11345f3cac,0.8081009145826101,5.438340129330754,1.2614009901881218,0.5280899349600077,0.047070905566215515,6.039294879883528,0.20624720491468906,14.328544959425926,0.0,0.0,128.977885004133,30.04598687402904,9000,4500,3000.0,,False,False,ok
