dataset,phase,control,method,sampling,aggregation,subject,seed,epoch,epochs,N_proj,sigma,d,m,training_power_loss,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_effective_N,spectral_max_weight,spectral_top5_weight,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,one_time_bank_sampling_ms,one_time_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_direct_projection_count,cumulative_direction_draw_count,learning_rate,eta_norm,nan,diverged,status
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,0,500,500,0.0,22,253,0.008961731652377552,0.09466642304628158,10.198606317621376,1.0,0.0,0.0,,,,,,,,,,,,,,,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.394162895157933,0,0,,2.793683898093503,False,False,initial
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,1,500,500,0.0,22,253,0.008961731652377552,0.09466642304628158,,,,,0.0008640400912156886,2.793683898093503,0.008961731652377552,0.01140091975211193,0.08261370241198362,0.00016453432284836968,6.214608098422191,500.0000000000001,0.002,0.01,1788.0,f6b9a215c943461161abd75446de136e12d78310f8e285632569915e691aa81d,three_row_sha256,494390cc543f3d8dc09dedd09a92cf001b54a29c3f48da6e7423edf9cac28424,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.24531688541173935,0.2185031771659851,0.22369995713233948,0.5838910583406687,0.05374080501496792,0.9316809009760618,0.17452100291848183,2.431353786960244,0.0,0.0,2.431353786960244,11.394162895157933,500,500,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,2,500,500,0.0,22,253,0.007231012249733315,0.08503535882051251,,,,,0.0007499736141504548,2.793683898093503,0.007231012249733315,0.008689747195262281,0.060849174156491416,0.0001226029622913555,6.214608098422191,500.0000000000001,0.002,0.01,1789.0,cf9799963330ced6cf275fc1e781231654a9dd0b2e6c754413ebc3b1d350bebd,three_row_sha256,8cfa736c0328071e65955d364caa7349eb431808c0ed7baa0395376f6c5dba2a,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.2055899240076542,0.2104709856212139,0.21162605844438076,0.5406350828707218,0.04709302447736263,0.4963730461895466,0.15646801330149174,1.8682561349123716,0.0,0.0,4.299609921872616,11.394162895157933,1000,1000,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,3,500,500,0.0,22,253,0.007095104796541446,0.08423244503480501,,,,,0.0007919676097599282,2.793683898093503,0.007095104796541446,0.009594047309991397,0.09627617796137235,7.49954160431291e-05,6.214608098422191,500.0000000000001,0.002,0.01,1791.0,01a6c3eccb6df756cd3f918ce0e071f04550ab7ee36b1680aa7df9337c9bf1db,three_row_sha256,9ea9352745df07efdfb5fcb20952c11cfbb82bf28fe6f69ee5154c46dfea1f2e,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.19882991909980774,0.209511024877429,0.20588398911058903,0.5135508254170418,0.045661116018891335,0.48618996515870094,0.15507196076214314,1.814698800444603,0.0,0.0,6.114308722317219,11.394162895157933,1500,1500,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,4,500,500,0.0,22,253,0.005573125161154795,0.07465336671011426,,,,,0.0006789276849996451,2.793683898093503,0.005573125161154795,0.007150260030010143,0.051482059541052116,0.00012842228267195366,6.214608098422191,500.0000000000001,0.002,0.01,1794.0,b3c22e97c8f20e8421a7cd64815bdcc39842869c7f4e16addfb2d61fc06df0ef,three_row_sha256,034b9c7ae903f42f059bb5cc49f28781a17437329a56667236fcb5fef288aa8e,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.19329017959535122,0.20935689099133015,0.20648515783250332,0.5091279745101929,0.04588090814650059,0.4777798894792795,0.1528100110590458,1.7947310116142035,0.0,0.0,7.909039733931422,11.394162895157933,2000,2000,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,5,500,500,0.0,22,253,0.004332320867879371,0.06582036818401558,,,,,0.0006086721822544313,2.793683898093503,0.004332320867879371,0.005389019944227908,0.03191117623847334,9.700020548126688e-05,6.214608098422191,500.0000000000001,0.002,0.01,1798.0,cfb96e428a932652bea321911e5d8617a1a90b463be25eb92d98c623f96bd44e,three_row_sha256,dafd2176eac64c2734d6eec465453ed817636557217ecbcca7400ea6289b1be1,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.1851900015026331,0.210620928555727,0.2055540680885315,0.5069258622825146,0.045582884922623634,0.47457008622586727,0.15150383114814758,1.7799476627260447,0.0,0.0,9.688987396657467,11.394162895157933,2500,2500,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,6,500,500,0.0,22,253,0.003143914420548695,0.05607061994082726,,,,,0.0004972549223548055,2.793683898093503,0.003143914420548695,0.003952690250968334,0.03177872690371883,8.320421587153632e-05,6.214608098422191,500.0000000000001,0.002,0.01,1803.0,07e89665440ef652084ea9f85cf07bda839f7f0d3e14ebbd7b314a204bba31c6,three_row_sha256,0febbfef003b2dab622f74aae48f211bff2db610c0e6260d16fb08bf34afac51,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.1863690558820963,0.20966306328773499,0.21017808467149734,0.5052851047366858,0.05352497100830078,0.479287002235651,0.16481801867485046,1.8091253004968166,0.0,0.0,11.498112697154284,11.394162895157933,3000,3000,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,7,500,500,0.0,22,253,0.002533488111797494,0.050333767113116955,,,,,0.00044326778237571566,2.793683898093503,0.002533488111797494,0.003014864476019896,0.021749604651747693,8.635344950034851e-05,6.214608098422191,500.0000000000001,0.002,0.01,1809.0,c29d0b6a46d65402b9871e1fb92f2a077725b4a18474c533faafb0aaa63a83b5,three_row_sha256,83f4e48ff0ca2235f33730992c935a4ffa2aff65d18ac03ed5cd6af965e1c744,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.18554413691163063,0.20956899970769882,0.20544999279081821,0.49921288155019283,0.04626205191016197,0.4769230727106333,0.16093417070806026,1.783895306289196,0.0,0.0,13.28200800344348,11.394162895157933,3500,3500,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,8,500,500,0.0,22,253,0.0018319893844219084,0.04280174510953856,,,,,0.0003650171609441477,2.793683898093503,0.0018319893844219084,0.0018250380388079549,0.012632426602953032,8.47176073887158e-05,6.214608098422191,500.0000000000001,0.002,0.01,1816.0,c43374600ca6d91413d297ebbe8300803729b4f37fda11f268664766bb6f61a2,three_row_sha256,6925139f868bcd15f6f29996e3e144cadd90e033ab5b84d1b2235ec179ab3f36,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.18292712047696114,0.2099259290844202,0.20554987713694572,0.4975590854883194,0.04513910971581936,0.47322805039584637,0.1521841622889042,1.7665133345872164,0.0,0.0,15.048521338030696,11.394162895157933,4000,4000,,2.793683898093503,False,False,ok
BNCI2014_001,bnci_factorial,normalized_update,resampled_uniform_N500,resampled,uniform,3,1788,9,500,500,0.0,22,253,0.001319219038979727,0.03632105503671014,,,,,0.00030889568979835657,2.793683898093503,0.001319219038979727,0.001232370305617723,0.007118288649704868,0.00010753769283687272,6.214608098422191,500.0000000000001,0.002,0.01,1824.0,8ea168199c9fac26db1a87cbc0fcc5b949b24598662a761f3628db904b5a51b8,three_row_sha256,f060b2ed8688f801ac1a11a59ebd2e79921f6e64902bef4be07a7b050952ba98,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.18446403555572033,0.2093450166285038,0.20541902631521225,0.5018538795411587,0.04593702033162117,0.474708154797554,0.15310896560549736,1.7748360987752676,0.0,0.0,16.823357436805964,11.394162895157933,4500,4500,,2.793683898093503,False,False,ok
