dataset,phase,control,method,sampling,aggregation,subject,seed,epoch,epochs,N_proj,sigma,d,m,training_power_loss,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_effective_N,spectral_max_weight,spectral_top5_weight,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,one_time_bank_sampling_ms,one_time_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_direct_projection_count,cumulative_direction_draw_count,learning_rate,eta_norm,nan,diverged,status
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,0,500,500,0.5,22,253,0.01487514608391554,0.12196370806069952,10.198606317621376,1.0,0.0,0.0,,,,,,,,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197412006556988,0.23789610713720322,0.557637307792902,11.32284989580512,0,500,3000.0,,False,False,initial
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,1,500,500,0.5,22,253,0.01487514608391554,0.12196370806069952,,,,,0.0015071635751242526,4.521490725372757,0.008961731652377552,0.01140091975211193,0.08261370241198362,0.00016453432284836968,6.0897145670217245,389.6917731566058,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.24069403298199177,0.0,0.6065599154680967,0.39425911381840706,0.8189838845282793,0.06141606718301773,2.1219130139797926,0.3197412006556988,0.23789610713720322,2.6795503217726946,11.32284989580512,500,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,2,500,500,0.5,22,253,0.00908667683353739,0.09532406219595024,,,,,0.0010679847043025216,3.2039541129075646,0.005712892862771795,0.0064561433721882925,0.0385107707124023,0.0001428557753498549,6.0897145670217245,389.6917731566058,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21964614279568195,0.0,0.5300599150359631,0.6915486883372068,0.49055577255785465,0.05488283932209015,1.9866933580487967,0.3197412006556988,0.23789610713720322,4.666243679821491,11.32284989580512,1000,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,3,500,500,0.5,22,253,0.006122215718380451,0.07824458906774609,,,,,0.0007953604121829183,2.3860812365487547,0.003973183119926469,0.004103384268676929,0.02178556282295554,0.00010432421612631803,6.0897145670217245,389.69177315660573,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21586311049759388,0.0,0.5141228903084993,0.6634080782532692,0.4829878453165293,0.05262298509478569,1.9290049094706774,0.3197412006556988,0.23789610713720322,6.595248589292169,11.32284989580512,1500,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,4,500,500,0.5,22,253,0.00443835110036147,0.06662095091156738,,,,,0.0006238781177823344,1.8716343533470032,0.002951386663380294,0.002839929531346626,0.014025219327742942,9.494478075560232e-05,6.0897145670217245,389.69177315660573,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21444889716804028,0.0,0.5039989482611418,0.6514759734272957,0.48544094897806644,0.0530448742210865,1.9084096420556307,0.3197412006556988,0.23789610713720322,8.5036582313478,11.32284989580512,2000,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,5,500,500,0.5,22,253,0.0033853685498016093,0.058183920027801574,,,,,0.0005096224260817872,1.5288672782453616,0.0022945616549926453,0.0020893847640057347,0.009720786541195537,9.685747012750143e-05,6.0897145670217245,389.69177315660573,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21443702280521393,0.0,0.501289963722229,0.6505751516669989,0.48172404058277607,0.05227699875831604,1.900303177535534,0.3197412006556988,0.23789610713720322,10.403961408883333,11.32284989580512,2500,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,6,500,500,0.5,22,253,0.0026795758175551824,0.05176461936067127,,,,,0.000425549520637447,1.2766485619123409,0.001843708162100171,0.0016022351068483262,0.007875584562588009,0.00011154558283549962,6.0897145670217245,389.6917731566058,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21281815133988857,0.0,0.5082020070403814,0.6549910176545382,0.47719688154757023,0.05302112549543381,1.9062291830778122,0.3197412006556988,0.23789610713720322,12.310190591961145,11.32284989580512,3000,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,7,500,500,0.5,22,253,0.002178873244521742,0.0466784023347173,,,,,0.00036256960590920554,1.0877088177276164,0.0015216342359081652,0.0012652892870772612,0.005676486497337692,9.431427376435243e-05,6.0897145670217245,389.6917731566058,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21365191787481308,0.0,0.5166078917682171,0.6648169364780188,0.479650916531682,0.05183601751923561,1.9265636801719666,0.3197412006556988,0.23789610713720322,14.236754272133112,11.32284989580512,3500,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,8,500,500,0.5,22,253,0.001811748597360727,0.0425646402235556,,,,,0.00031592598652758206,0.9477779595827461,0.0012820632069474086,0.0010215929538415882,0.004549020573977524,8.013659449975026e-05,6.0897145670217245,389.6917731566058,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21369103342294693,0.0,0.5052108317613602,0.6571398116648197,0.4828670062124729,0.050375936552882195,1.909284619614482,0.3197412006556988,0.23789610713720322,16.146038891747594,11.32284989580512,4000,500,3000.0,,False,False,ok
BNCI2014_001,bnci_factorial,raw_sgd_lr3000,fixed_spectral_N500_s0p5,fixed,spectral,3,1788,9,500,500,0.5,22,253,0.0015319909918932145,0.03914065650820403,,,,,0.00027863471403111477,0.8359041420933443,0.001097737288877601,0.0008378780009582505,0.003981358240555883,7.238388588044916e-05,6.0897145670217245,389.6917731566058,0.008699596162186296,0.03389893912284281,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,050d59b6c410dc0d7d1cbcda46b0e945f1dd01a83a847dc15c216f77eb5957ae,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.21397112868726254,0.0,0.501793110743165,0.6481660529971123,0.4770420491695404,0.052409013733267784,1.893381355330348,0.3197412006556988,0.23789610713720322,18.039420247077942,11.32284989580512,4500,500,3000.0,,False,False,ok
