dataset,phase,control,method,sampling,aggregation,subject,seed,epoch,epochs,N_proj,sigma,d,m,training_power_loss,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_effective_N,spectral_max_weight,spectral_top5_weight,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,one_time_bank_sampling_ms,one_time_target_projection_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_direct_projection_count,cumulative_direction_draw_count,learning_rate,eta_norm,nan,diverged,status
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,0,100,5000,0.0,128,8256,0.0013692404310945326,0.03700324892620285,71.12992527977073,1.0,0.0,0.0,,,,,,,,,,,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.382532987743616,21.58405794762075,39.966590935364366,37.46080189011991,0,5000,,7.3473173386245945,False,False,initial
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,1,100,5000,0.0,128,8256,0.0013692404310945326,0.03700324892620285,,,,,4.4182398378510435e-05,7.347317338624595,0.0013692404310945326,0.001661535701528709,0.017868667087262233,2.8500755554999914e-05,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.2151620928198,0.0,5.419641034677625,0.08100597187876701,138.32573499530554,0.7940419018268585,282.8355859965086,18.382532987743616,21.58405794762075,322.80217693187296,37.46080189011991,5000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,2,100,5000,0.0,128,8256,0.00106835979649017,0.03268577361009175,,,,,3.7803025750676463e-05,7.347317338624595,0.00106835979649017,0.0012842777166119652,0.01347925250752198,2.2907582475027483e-05,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.14323511905968,0.0,5.41037879884243,0.06945198401808739,138.2634029723704,0.795064028352499,282.6815329026431,18.382532987743616,21.58405794762075,605.483709834516,37.46080189011991,10000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,3,100,5000,0.0,128,8256,0.0008133442200174047,0.02851919038152038,,,,,3.1715076081935264e-05,7.3473173386245945,0.0008133442200174047,0.0009677245927847863,0.009782314550416659,2.237123131245115e-05,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.12418188899755,0.0,5.361197981983423,0.05976995453238487,138.26771290041506,0.7942500524222851,282.6071127783507,18.382532987743616,21.58405794762075,888.0908226128668,37.46080189011991,15000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,4,100,5000,0.0,128,8256,0.0006018457670223004,0.024532545057989814,,,,,2.5980671684587916e-05,7.3473173386245945,0.0006018457670223004,0.0007086757248934522,0.006904629115077169,1.3207479667889658e-05,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.14592291601002,0.0,5.413341801613569,0.06249384023249149,138.21788597851992,0.7949830032885075,282.6346275396645,18.382532987743616,21.58405794762075,1170.7254501525313,37.46080189011991,20000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,5,100,5000,0.0,128,8256,0.00043099857236197014,0.020760505108546136,,,,,2.067940951059447e-05,7.3473173386245945,0.00043099857236197014,0.0005031781822859726,0.004638663701521046,8.623631948361198e-06,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.11255805194378,0.0,5.390377948060632,0.05932897329330444,138.28706601634622,0.7988209836184978,282.64815197326243,18.382532987743616,21.58405794762075,1453.3736021257937,37.46080189011991,25000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,6,100,5000,0.0,128,8256,0.00029729946992565113,0.017242374254308804,,,,,1.5905185045199444e-05,7.3473173386245945,0.00029729946992565113,0.0003461531531901783,0.0031989646101625475,6.276118429520773e-06,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.12294602394104,0.0,5.394658073782921,0.07831305265426636,138.22808302938938,0.7949511054903269,282.61895128525794,18.382532987743616,21.58405794762075,1735.9925534110516,37.46080189011991,30000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,7,100,5000,0.0,128,8256,0.00019651276231595266,0.014018300978219602,,,,,1.1760594098895382e-05,7.3473173386245945,0.00019651276231595266,0.00023088187505360182,0.0022511770491339704,5.733616908844518e-06,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.11069913208485,0.0,5.399927031248808,0.06847688928246498,138.5043819900602,0.792910810559988,282.8763958532363,18.382532987743616,21.58405794762075,2018.868949264288,37.46080189011991,35000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,8,100,5000,0.0,128,8256,0.0001237060134690815,0.011122320507388803,,,,,8.32247665414207e-06,7.347317338624595,0.0001237060134690815,0.00014888782604676693,0.0014659052301088922,3.840554680746756e-06,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.11830105260015,0.0,5.3750500082969666,0.06463495083153248,138.23684910312295,0.8023439440876245,282.5971790589392,18.382532987743616,21.58405794762075,2301.466128323227,37.46080189011991,40000,5000,,7.3473173386245945,False,False,ok
Schirrmeister2017,hgd_support_calibration,normalized_update,fixed_uniform_N5000,fixed,uniform,3,6398,9,100,5000,0.0,128,8256,7.35625715098614e-05,0.00857686256797096,,,,,5.6100987040133774e-06,7.347317338624595,7.35625715098614e-05,9.132791645669497e-05,0.0008456658023569339,2.564941600376336e-06,8.51719319141624,4999.999999999999,0.0002,0.001,6398,cbe5d824c996a6b32774640cd2eaa54712f9119ee0a6f779daf5e5419000791c,full_tensor_sha256,b99af859a16056517f9e7f57bc9102d3cf5d90f42c31380d356323b12d5f83d4,fa66d19baacaf6e69156c6de01dc8e4c07b1dc63c9d907414be5465835ec8e95,e86426c9fc39789e18f6d34424282846a53a79b76839f12f6f5a72d59f690eb6,0.0,138.1189120002091,0.0,5.408641882240772,0.06323494017124176,138.26362206600606,0.7977660279721022,282.6521769165993,18.382532987743616,21.58405794762075,2584.1183052398264,37.46080189011991,45000,5000,,7.3473173386245945,False,False,ok
