dataset,phase,control,method,family,hierarchical,subject,seed,epoch,k,L,sigma,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top10_weight,gram_condition,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,bank_seed,mix_seed,nan,diverged,status
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,0,40,500,1.5,,,71.12992527977076,0.0,,,,,,,,,,,,,0.0,0.03554307413287461,0,,3.866127438301626,6398,6398,False,False,initial
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,1,40,500,1.5,0.0033878578062354952,0.05820530737171221,,,0.0012028576116194661,3.8661274383016253,0.0010272189036586404,0.0011137179900949147,0.007536735767570907,2.3951987028421897e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.3139628712406404,0.0005297251045703888,0.008242520969361067,0.03554307413287461,40,,3.866127438301626,6398,6398,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,2,40,500,1.5,0.006017904963773566,0.07757515687237485,,,0.0017247488104885332,3.8661274383016266,0.0016587426895999977,0.0020746770280326943,0.013314596959581997,3.48945219034854e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.288422065410422,0.0005083770956844091,0.016369993099942803,0.03554307413287461,80,,3.866127438301626,6399,6399,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,3,40,500,1.5,0.003624196164333562,0.060201297031987296,,,0.0013724279271708022,3.8661274383016266,0.0010634885708038554,0.0012415516894348512,0.007896769750015933,3.7561826027555575e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.2928592733881108,0.0004938789643347263,0.02448438503779471,0.03554307413287461,120,,3.866127438301626,6400,6400,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,4,40,500,1.5,0.004594347828424166,0.0677816186618774,,,0.00165391986931069,3.866127438301626,0.0013035657107792291,0.0015327734062284006,0.011146963716549442,3.0055824881194508e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.3043524108182394,0.0005099519621580839,0.03244971018284559,0.03554307413287461,160,,3.866127438301626,6401,6401,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,5,40,500,1.5,0.005061233560262202,0.07114234716582102,,,0.001608927382494797,3.866127438301626,0.0014446655251828405,0.0017132041796510521,0.010857339998497069,2.5954011754674764e-05,5.10170824831357,64.04491590372794,0.08407667862947332,0.2898753484782647,1.296998935089367,0.00050211395137012,0.0404766071587801,0.03554307413287461,200,,3.866127438301626,6402,6402,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,6,40,500,1.5,0.005354191002037543,0.07317233768329083,,,0.0017796476930949103,3.866127438301626,0.001492969354237563,0.0017866135595862832,0.012945899304975361,4.602153387601989e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.2821628173235904,0.00048676016740500927,0.04848389024846256,0.03554307413287461,240,,3.866127438301626,6403,6403,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,7,40,500,1.5,0.0059713340084803015,0.07727440720238689,,,0.0017664976862135353,3.866127438301626,0.0016486114057869732,0.0019799561825371162,0.015163586088945472,4.718079281732803e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.3027205073445884,0.0005010569002479315,0.05659403232857585,0.03554307413287461,280,,3.866127438301626,6404,6404,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,8,40,500,1.5,0.004671109104889026,0.06834551269022002,,,0.0015911579861331024,3.8661274383016266,0.0012713639799111496,0.0015418033789772433,0.012134006333704516,2.5798678982352584e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.2929311669616415,0.0004885389935225248,0.06466109934262931,0.03554307413287461,320,,3.866127438301626,6405,6405,False,False,ok
Schirrmeister2017,development,normalized_update,lns_spdhsw_k40_l500_s1p5,lognormal_spectral,True,3,6398,9,40,500,1.5,0.00427891131360641,0.06541338787745525,,,0.0015349878855634986,3.866127438301626,0.0011805541658047548,0.0014131523578773241,0.010794191853226432,3.321584817962535e-05,5.101708248313571,64.04491590372793,0.08407667862947332,0.2898753484782647,1.288589308760135,0.0004935481119900942,0.07273769145831466,0.03554307413287461,360,,3.866127438301626,6406,6406,False,False,ok
