dataset,phase,control,method,family,hierarchical,subject,seed,epoch,k,L,sigma,training_power_loss,rooted_distance,lew,gap_closure_pct,gradient_norm,update_norm,mean_h,std_h,max_h,min_h,spectral_entropy,spectral_ess,spectral_max_weight,spectral_top10_weight,gram_condition,aggregation_seconds,optimization_seconds_cum,evaluation_seconds_cum,cumulative_ambient_projections,learning_rate,normalized_step_target,bank_seed,mix_seed,nan,diverged,status
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,0,40,40,0.0,,,89.9337188259475,0.0,,,,,,,,,,,,,0.0,0.038164529018104076,0,,3.866127438301626,6398,,False,False,initial
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,1,40,40,0.0,0.0014193109814417356,0.03767374392652973,,,0.00039636960736375433,3.8661274383016266,0.0014193109814417356,0.0013035161274719208,0.005742648258194132,5.716431582728133e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00044281408190727234,0.006987786153331399,0.038164529018104076,40,,3.866127438301626,6398,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,2,40,40,0.0,0.0023471229642114616,0.04844711512785319,,,0.0005161144237526786,3.8661274383016258,0.0023471229642114616,0.0021421736929025225,0.007487404366434191,0.00011606229982993872,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00042856507934629917,0.013756269123405218,0.038164529018104076,80,,3.866127438301626,6399,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,3,40,40,0.0,0.0017550360529868796,0.041893150430432895,,,0.0004480540811113788,3.866127438301626,0.0017550360529868796,0.0012957463987686092,0.005367518159233903,7.051705684723059e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00040106894448399544,0.020448253257200122,0.038164529018104076,120,,3.866127438301626,6400,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,4,40,40,0.0,0.0015525382691095363,0.03940226223339894,,,0.0004168246777095168,3.866127438301626,0.0015525382691095363,0.0014310354969448425,0.005589259685312251,8.200304824211148e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.0003909049555659294,0.027200017357245088,0.038164529018104076,160,,3.866127438301626,6401,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,5,40,40,0.0,0.0013889282424204331,0.03726832760428663,,,0.000395279125344554,3.8661274383016266,0.0013889282424204331,0.0015103744534308023,0.008280895988245945,3.9480849642770495e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00039299484342336655,0.03386136726476252,0.038164529018104076,200,,3.866127438301626,6402,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,6,40,40,0.0,0.0012470503178307144,0.03531359961588049,,,0.0003733370493870793,3.8661274383016258,0.0012470503178307144,0.0014131931707498132,0.006316755288370852,8.511335507369084e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.0003845370374619961,0.04051907826215029,0.038164529018104076,240,,3.866127438301626,6403,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,7,40,40,0.0,0.0017651013308148033,0.042013109035333285,,,0.0004429549147094495,3.866127438301626,0.0017651013308148033,0.0021327265937314296,0.008696320398379446,6.085584821663103e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00039170216768980026,0.04717893828637898,0.038164529018104076,280,,3.866127438301626,6404,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,8,40,40,0.0,0.0021312876049363236,0.04616587056404681,,,0.0004900816021085272,3.866127438301626,0.0021312876049363236,0.002264132209945624,0.009011641903425573,0.00017002907873689215,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00039093103259801865,0.05380704626441002,0.038164529018104076,320,,3.866127438301626,6405,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,9,40,40,0.0,0.0011386727717281068,0.033744225753869456,,,0.00035842663273577346,3.866127438301626,0.0011386727717281068,0.0010421978383531245,0.005624117167745053,9.554277913905379e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00038592214696109295,0.06056725326925516,0.038164529018104076,360,,3.866127438301626,6406,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,10,40,40,0.0,0.0016590821875861667,0.04073183260775492,,,0.00042818981753132545,3.866127438301626,0.0016590821875861667,0.0019470605689577245,0.010535990759760496,0.0001476776757608606,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00038933404721319675,0.0672146463766694,0.038164529018104076,400,,3.866127438301626,6407,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,11,40,40,0.0,0.00147123488943723,0.038356679854195275,,,0.000406238748334042,3.866127438301626,0.00147123488943723,0.0012464680727621504,0.004970725450053386,8.667120774958184e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00038318103179335594,0.07403522240929306,0.038164529018104076,440,,3.866127438301626,6408,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,12,40,40,0.0,0.0017566388596558864,0.04191227576326399,,,0.00043956543743819704,3.866127438301626,0.0017566388596558864,0.0015463860710365348,0.005930379925292814,5.3715585091582426e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00039334408938884735,0.0807217953260988,0.038164529018104076,480,,3.866127438301626,6409,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,13,40,40,0.0,0.0018554690054294787,0.04307515531521017,,,0.00044842787412077315,3.8661274383016266,0.0018554690054294787,0.001343333915661207,0.004576311991462036,5.776746431784071e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00039070984348654747,0.08737704227678478,0.038164529018104076,520,,3.866127438301626,6410,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,14,40,40,0.0,0.0014208065362289512,0.03769358746828101,,,0.0003969335221526175,3.866127438301626,0.0014208065362289512,0.001606837783695905,0.007561899679986815,8.610969255293693e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.0003843179438263178,0.09404410724528134,0.038164529018104076,560,,3.866127438301626,6411,,False,False,ok
Schirrmeister2017,development,normalized_update,spdsw_l40,sw,False,4,6398,15,40,40,0.0,0.0017025417899572733,0.04126186847389819,,,0.0004358784473801063,3.866127438301626,0.0017025417899572733,0.0014923530142550805,0.005576003577520463,8.648778934392562e-05,3.6888794541139367,39.99999999999999,0.025,0.25,,0.00039053894579410553,0.10086112236604095,0.038164529018104076,600,,3.866127438301626,6412,,False,False,ok
