effect,sampling,update,aggregation,level,subject,seed,difference,mean,median,sd
spectral,fixed,normalized_power,spectral-minus-uniform,run,1.0,1788.0,-0.00027276116140861895,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,1.0,3654.0,-0.00022950530250165357,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,1.0,6398.0,-0.0003879265108951424,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,3.0,1788.0,-0.0001170543348355535,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,3.0,3654.0,-0.0010208448510510282,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,3.0,6398.0,-0.0009928221135737658,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,8.0,1788.0,-4.828622659958093e-05,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,8.0,3654.0,-6.095360000546446e-05,,,
spectral,fixed,normalized_power,spectral-minus-uniform,run,8.0,6398.0,-0.00010607964390796365,,,
spectral,fixed,normalized_power,spectral-minus-uniform,seed_mean,,1788.0,-0.00014603390761458446,,,
spectral,fixed,normalized_power,spectral-minus-uniform,seed_mean,,3654.0,-0.00043710125118604876,,,
spectral,fixed,normalized_power,spectral-minus-uniform,seed_mean,,6398.0,-0.0004956094227922906,,,
spectral,fixed,normalized_power,spectral-minus-uniform,subject_mean,1.0,,-0.000296730991601805,,,
spectral,fixed,normalized_power,spectral-minus-uniform,subject_mean,3.0,,-0.0007102404331534492,,,
spectral,fixed,normalized_power,spectral-minus-uniform,subject_mean,8.0,,-7.177315683766967e-05,,,
spectral,fixed,normalized_power,spectral-minus-uniform,grand,,,,-0.00035958152719764127,-0.00022950530250165357,0.00038286582324871055
spectral,fixed,raw_power,spectral-minus-uniform,run,1.0,1788.0,-0.0024392556867380843,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,1.0,3654.0,-0.00193181203334436,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,1.0,6398.0,-0.0025205687973138824,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,3.0,1788.0,-0.0032571958518653465,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,3.0,3654.0,-0.0037046808546715715,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,3.0,6398.0,-0.0027555251486379717,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,8.0,1788.0,-0.0032521409831871573,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,8.0,3654.0,-0.0036991377241853973,,,
spectral,fixed,raw_power,spectral-minus-uniform,run,8.0,6398.0,-0.0024478117966278967,,,
spectral,fixed,raw_power,spectral-minus-uniform,seed_mean,,1788.0,-0.002982864173930196,,,
spectral,fixed,raw_power,spectral-minus-uniform,seed_mean,,3654.0,-0.0031118768707337763,,,
spectral,fixed,raw_power,spectral-minus-uniform,seed_mean,,6398.0,-0.0025746352475265835,,,
spectral,fixed,raw_power,spectral-minus-uniform,subject_mean,1.0,,-0.0022972121724654424,,,
spectral,fixed,raw_power,spectral-minus-uniform,subject_mean,3.0,,-0.003239133951724963,,,
spectral,fixed,raw_power,spectral-minus-uniform,subject_mean,8.0,,-0.0031330301680001504,,,
spectral,fixed,raw_power,spectral-minus-uniform,grand,,,,-0.002889792097396852,-0.0027555251486379717,0.0006180387497699677
spectral,fixed,raw_rooted,spectral-minus-uniform,run,1.0,1788.0,0.004905354785151861,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,1.0,3654.0,0.005031397920575498,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,1.0,6398.0,0.0052200323003038784,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,3.0,1788.0,0.0018004577634483931,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,3.0,3654.0,0.0007874646100504146,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,3.0,6398.0,0.0021848415049416925,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,8.0,1788.0,0.0023555874876400873,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,8.0,3654.0,0.002202531958656606,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,run,8.0,6398.0,0.00298683749093942,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,seed_mean,,1788.0,0.0030204666787467804,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,seed_mean,,3654.0,0.002673798163094173,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,seed_mean,,6398.0,0.003463903765394997,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,subject_mean,1.0,,0.005052261668677079,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,subject_mean,3.0,,0.0015909212928135001,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,subject_mean,8.0,,0.002514985645745371,,,
spectral,fixed,raw_rooted,spectral-minus-uniform,grand,,,,0.00305272286907865,0.0023555874876400873,0.001608981599137646
spectral,resampled,normalized_power,spectral-minus-uniform,run,1.0,1788.0,0.038784623320301526,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,1.0,3654.0,0.04051540060789671,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,1.0,6398.0,0.04008401119666427,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,3.0,1788.0,0.04100214583243289,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,3.0,3654.0,0.0390341409286068,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,3.0,6398.0,0.040739007723828324,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,8.0,1788.0,0.026744403439621034,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,8.0,3654.0,0.02567130591517164,,,
spectral,resampled,normalized_power,spectral-minus-uniform,run,8.0,6398.0,0.03250740218708359,,,
spectral,resampled,normalized_power,spectral-minus-uniform,seed_mean,,1788.0,0.03551039086411848,,,
spectral,resampled,normalized_power,spectral-minus-uniform,seed_mean,,3654.0,0.03507361581722505,,,
spectral,resampled,normalized_power,spectral-minus-uniform,seed_mean,,6398.0,0.03777680703585873,,,
spectral,resampled,normalized_power,spectral-minus-uniform,subject_mean,1.0,,0.03979467837495417,,,
spectral,resampled,normalized_power,spectral-minus-uniform,subject_mean,3.0,,0.040258431494956004,,,
spectral,resampled,normalized_power,spectral-minus-uniform,subject_mean,8.0,,0.028307703847292087,,,
spectral,resampled,normalized_power,spectral-minus-uniform,grand,,,,0.03612027123906742,0.0390341409286068,0.006183888618630795
spectral,resampled,raw_power,spectral-minus-uniform,run,1.0,1788.0,-0.01926602066783778,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,1.0,3654.0,-0.022993257012030588,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,1.0,6398.0,-0.02126183560540651,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,3.0,1788.0,-0.0219563910596261,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,3.0,3654.0,-0.02328669024486152,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,3.0,6398.0,-0.021997169023468044,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,8.0,1788.0,-0.014812537825981797,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,8.0,3654.0,-0.015542193771172386,,,
spectral,resampled,raw_power,spectral-minus-uniform,run,8.0,6398.0,-0.015386103458290945,,,
spectral,resampled,raw_power,spectral-minus-uniform,seed_mean,,1788.0,-0.018678316517815225,,,
spectral,resampled,raw_power,spectral-minus-uniform,seed_mean,,3654.0,-0.020607380342688164,,,
spectral,resampled,raw_power,spectral-minus-uniform,seed_mean,,6398.0,-0.0195483693623885,,,
spectral,resampled,raw_power,spectral-minus-uniform,subject_mean,1.0,,-0.02117370442842496,,,
spectral,resampled,raw_power,spectral-minus-uniform,subject_mean,3.0,,-0.022413416775985223,,,
spectral,resampled,raw_power,spectral-minus-uniform,subject_mean,8.0,,-0.015246945018481709,,,
spectral,resampled,raw_power,spectral-minus-uniform,grand,,,,-0.01961135540763063,-0.02126183560540651,0.003471661436779468
spectral,resampled,raw_rooted,spectral-minus-uniform,run,1.0,1788.0,0.03005370203292712,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,1.0,3654.0,0.03012021706970358,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,1.0,6398.0,0.031512334262500885,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,3.0,1788.0,0.01667610030775113,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,3.0,3654.0,0.01827821731191437,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,3.0,6398.0,0.012866292723602846,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,8.0,1788.0,0.02045604165276882,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,8.0,3654.0,0.018529965377911073,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,run,8.0,6398.0,0.0203847414186219,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,seed_mean,,1788.0,0.022395281331149024,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,seed_mean,,3654.0,0.022309466586509674,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,seed_mean,,6398.0,0.021587789468241875,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,subject_mean,1.0,,0.030562084455043863,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,subject_mean,3.0,,0.015940203447756113,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,subject_mean,8.0,,0.019790249483100597,,,
spectral,resampled,raw_rooted,spectral-minus-uniform,grand,,,,0.022097512461966857,0.0203847414186219,0.006744008058605123
resampling,resampled-minus-fixed,normalized_power,uniform,run,1.0,1788.0,-0.14514674649566095,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,1.0,3654.0,-0.14301325602629078,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,1.0,6398.0,-0.14012941397069267,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,3.0,1788.0,-0.15820950999101957,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,3.0,3654.0,-0.15228224664505008,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,3.0,6398.0,-0.15607632453915699,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,8.0,1788.0,-0.10634033101689655,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,8.0,3654.0,-0.10358850691390653,,,
resampling,resampled-minus-fixed,normalized_power,uniform,run,8.0,6398.0,-0.10909900657444838,,,
resampling,resampled-minus-fixed,normalized_power,uniform,seed_mean,,1788.0,-0.13656552916785902,,,
resampling,resampled-minus-fixed,normalized_power,uniform,seed_mean,,3654.0,-0.1329613365284158,,,
resampling,resampled-minus-fixed,normalized_power,uniform,seed_mean,,6398.0,-0.13510158169476602,,,
resampling,resampled-minus-fixed,normalized_power,uniform,subject_mean,1.0,,-0.14276313883088146,,,
resampling,resampled-minus-fixed,normalized_power,uniform,subject_mean,3.0,,-0.15552269372507554,,,
resampling,resampled-minus-fixed,normalized_power,uniform,subject_mean,8.0,,-0.10634261483508382,,,
resampling,resampled-minus-fixed,normalized_power,uniform,grand,,,,-0.13487614913034693,-0.14301325602629078,0.022231257321292826
resampling,resampled-minus-fixed,raw_power,uniform,run,1.0,1788.0,-0.06119085057902807,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,1.0,3654.0,-0.0597288420369021,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,1.0,6398.0,-0.055997587235277924,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,3.0,1788.0,-0.06140981009497348,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,3.0,3654.0,-0.05646410767686538,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,3.0,6398.0,-0.0632753758112975,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,8.0,1788.0,-0.04463742547497507,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,8.0,3654.0,-0.041896546607638196,,,
resampling,resampled-minus-fixed,raw_power,uniform,run,8.0,6398.0,-0.0415955282449787,,,
resampling,resampled-minus-fixed,raw_power,uniform,seed_mean,,1788.0,-0.05574602871632554,,,
resampling,resampled-minus-fixed,raw_power,uniform,seed_mean,,3654.0,-0.05269649877380189,,,
resampling,resampled-minus-fixed,raw_power,uniform,seed_mean,,6398.0,-0.05362283043051804,,,
resampling,resampled-minus-fixed,raw_power,uniform,subject_mean,1.0,,-0.05897242661706936,,,
resampling,resampled-minus-fixed,raw_power,uniform,subject_mean,3.0,,-0.060383097861045454,,,
resampling,resampled-minus-fixed,raw_power,uniform,subject_mean,8.0,,-0.042709833442530654,,,
resampling,resampled-minus-fixed,raw_power,uniform,grand,,,,-0.05402178597354849,-0.05646410767686538,0.008828547872136456
resampling,resampled-minus-fixed,raw_rooted,uniform,run,1.0,1788.0,-0.13534635199275236,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,1.0,3654.0,-0.13399771344032374,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,1.0,6398.0,-0.1287785680603215,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,3.0,1788.0,-0.13536518553879529,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,3.0,3654.0,-0.12934045222703994,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,3.0,6398.0,-0.13297384464169493,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,8.0,1788.0,-0.09766802790864526,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,8.0,3654.0,-0.09483031328232694,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,run,8.0,6398.0,-0.09610728883349673,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,seed_mean,,1788.0,-0.1227931884800643,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,seed_mean,,3654.0,-0.1193894929832302,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,seed_mean,,6398.0,-0.11928656717850439,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,subject_mean,1.0,,-0.1327075444977992,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,subject_mean,3.0,,-0.13255982746917672,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,subject_mean,8.0,,-0.09620187667482298,,,
resampling,resampled-minus-fixed,raw_rooted,uniform,grand,,,,-0.1204897495472663,-0.12934045222703994,0.018374902855988123
resampling,resampled-minus-fixed,normalized_power,spectral,run,1.0,1788.0,-0.1060893620139508,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,1.0,3654.0,-0.10226835011589241,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,1.0,6398.0,-0.09965747626313326,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,3.0,1788.0,-0.11709030982375113,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,3.0,3654.0,-0.11222726086539225,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,3.0,6398.0,-0.1143444947017549,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,8.0,1788.0,-0.07954764135067594,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,8.0,3654.0,-0.07785624739872943,,,
resampling,resampled-minus-fixed,normalized_power,spectral,run,8.0,6398.0,-0.07648552474345682,,,
resampling,resampled-minus-fixed,normalized_power,spectral,seed_mean,,1788.0,-0.10090910439612595,,,
resampling,resampled-minus-fixed,normalized_power,spectral,seed_mean,,3654.0,-0.0974506194600047,,,
