method,sampling,aggregation,update,subject,seed,threshold_relative_lew,required_reduction_pct,reached,first_reach_epoch,first_reach_optimization_ms,first_reach_total_projection_count
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,1788,0.95,5.000000000000004,True,2.0,4.890047945082188,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,1788,0.9,9.999999999999998,True,4.0,9.494270896539092,2000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,1788,0.8,19.999999999999996,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,1788,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,1788,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,1788,0.95,5.000000000000004,True,2.0,4.391085589304566,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,1788,0.9,9.999999999999998,True,4.0,7.953976513817906,2000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,1788,0.8,19.999999999999996,True,13.0,29.45209830068052,6500.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,1788,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,1788,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,1788,0.95,5.000000000000004,True,2.0,4.77129640057683,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,1788,0.9,9.999999999999998,True,4.0,8.441232610493898,2000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,1788,0.8,19.999999999999996,True,8.0,15.439277281984689,4000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,1788,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,1788,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,3654,0.95,5.000000000000004,True,2.0,4.49472526088357,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,3654,0.9,9.999999999999998,True,5.0,9.998542256653309,2500.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,3654,0.8,19.999999999999996,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,3654,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,3654,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,3654,0.95,5.000000000000004,True,2.0,5.584873491898179,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,3654,0.9,9.999999999999998,True,4.0,9.420574409887196,2000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,3654,0.8,19.999999999999996,True,11.0,24.430149933323264,5500.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,3654,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,3654,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,3654,0.95,5.000000000000004,True,2.0,4.189013270661235,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,3654,0.9,9.999999999999998,True,3.0,6.356449332088232,1500.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,3654,0.8,19.999999999999996,True,8.0,16.141997184604406,4000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,3654,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,3654,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,6398,0.95,5.000000000000004,True,2.0,118.62146598286928,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,6398,0.9,9.999999999999998,True,5.0,124.90792339667678,2500.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,6398,0.8,19.999999999999996,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,6398,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,1,6398,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,6398,0.95,5.000000000000004,True,2.0,4.907105816528201,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,6398,0.9,9.999999999999998,True,4.0,8.90667806379497,2000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,6398,0.8,19.999999999999996,True,14.0,27.465831022709608,7000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,6398,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,3,6398,0.6,40.0,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,6398,0.95,5.000000000000004,True,2.0,5.206544185057282,1000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,6398,0.9,9.999999999999998,True,4.0,8.711782982572913,2000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,6398,0.8,19.999999999999996,True,8.0,16.65439340285957,4000.0
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,6398,0.7,30.000000000000004,False,,,
fixed_spectral_normalized_power_s1,fixed,spectral,normalized_power,8,6398,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.95,5.000000000000004,True,1.0,2.3326703812927008,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.9,9.999999999999998,True,4.0,7.540419464930892,2000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.8,19.999999999999996,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,1,1788,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.95,5.000000000000004,True,1.0,2.471833024173975,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.9,9.999999999999998,True,2.0,4.602358909323812,1000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.8,19.999999999999996,True,18.0,34.937507240101695,9000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.7,30.000000000000004,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,3,1788,0.6,40.0,False,,,
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.95,5.000000000000004,True,1.0,2.7894158847630024,500.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.9,9.999999999999998,True,2.0,4.554400919005275,1000.0
fixed_spectral_raw_power_s1,fixed,spectral,raw_power,8,1788,0.8,19.999999999999996,True,7.0,13.757206965237856,3500.0
