dataset,method,sampling,aggregation,update,subject,seed,epoch,raw_gradient_norm,applied_update_norm,uniform_spectral_cosine,paired_uniform_gradient_norm,paired_spectral_gradient_norm,bank_seed,bank_hash,spectral_effective_N,spectral_entropy,spectral_max_weight,spectral_top5_mass,spectral_top10_mass,diagnostic_ms
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,0,0.000873437773411681,2.793683898093503,0.86952548582604,0.000873437773411681,0.002733232323549424,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,2.514583058655262
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,1,0.0007263992786689499,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,2,0.0005879018427448714,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,3,0.0004604858417913803,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,4,0.00034752184178982756,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,5,0.0002525677067918,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,6,0.0001778659913640275,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,7,0.00012165314082008082,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,8,7.965187292835575e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,9,4.8677036092633326e-05,2.7936838980935033,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,10,2.8014677206956724e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,11,3.4923395604137594e-05,2.7936838980935024,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,12,0.0001309626377097174,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,13,8.356103235822737e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,14,0.00013445313365098016,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,15,8.679397629079839e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,16,0.00013575632606502937,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,17,8.80422722936617e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,18,0.00013647370919377276,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,19,8.874602920615463e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,20,0.0001369099286609767,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,21,8.920178886368273e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,22,0.00013720780425818208,2.7936838980935024,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,23,8.952464455726893e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,24,0.00013742792369358573,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,25,8.97642117139896e-05,2.793683898093503,0.9339029488571952,8.97642117139896e-05,0.00024766875444409383,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,1.7989249899983406
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,26,0.00013759838905039637,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,27,8.994756202652184e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,28,0.00013773169611213014,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,29,9.008859972555032e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,30,0.00013783852682349847,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,31,9.019807667342853e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,32,0.00013792311057293324,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,33,9.028462866980636e-05,2.7936838980935024,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,34,0.00013799165720815082,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,35,9.035353952836696e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,36,0.00013804641464745506,2.7936838980935033,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,37,9.040895551998036e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,38,0.00013809268141736012,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,39,9.045430610529409e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,40,0.00013813108505981742,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,41,9.04918261115514e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,42,0.00013816410155212345,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,43,9.052348771398439e-05,2.7936838980935033,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,44,0.0001381923566563194,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,45,9.05508406878118e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,46,0.000138217322483725,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,47,9.057480998402017e-05,2.7936838980935033,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,48,0.00013823964293602805,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,49,9.059608919350658e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,50,0.00013825976622001713,2.7936838980935024,0.9359320583501897,0.00013825976622001713,0.0003752739046025892,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,2.4755659978836775
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,51,9.061492882496542e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,52,0.00013827841629901477,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,53,9.0631873890586e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,54,0.00013829583851381294,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,55,9.064738388219922e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,56,0.00013831175663329333,2.7936838980935033,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,57,9.066169284666183e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,58,0.00013832660600056348,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,59,9.067507719606463e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,60,0.0001383403369430992,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,61,9.068760577012293e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,62,0.00013835312989830855,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,63,9.069925423606188e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,64,0.00013836521190367464,2.7936838980935024,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,3654,65,9.071012322762672e-05,2.793683898093503,,,,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,
