dataset,method,sampling,aggregation,update,subject,seed,epoch,raw_gradient_norm,applied_update_norm,uniform_spectral_cosine,paired_uniform_gradient_norm,paired_spectral_gradient_norm,bank_seed,bank_hash,spectral_effective_N,spectral_entropy,spectral_max_weight,spectral_top5_mass,spectral_top10_mass,diagnostic_ms
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,0,0.0009401873333113157,2.8205619999339473,0.8580338542093557,0.0009401873333113157,0.0029510713273892945,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,4.67308983206749
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,1,0.0007854581961296954,2.356374588389086,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,2,0.0006629720829937131,1.9889162489811392,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,3,0.0005655575626380172,1.6966726879140517,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,4,0.0004876457445763452,1.4629372337290356,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,5,0.00042493489189393324,1.2748046756817997,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,6,0.00037407126186494945,1.1222137855948482,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,7,0.00033247791407282516,0.9974337422184755,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,8,0.00029818574333073406,0.8945572299922022,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,9,0.0002695903740278364,0.8087711220835094,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,10,0.0002454971537842795,0.7364914613528385,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,11,0.00022502083250282867,0.6750624975084861,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,12,0.00020742714429974342,0.6222814328992303,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,13,0.00019218191607207503,0.5765457482162251,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,14,0.00017887365899365768,0.536620976980973,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,15,0.00016711702270186563,0.5013510681055969,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,16,0.00015665206847386738,0.46995620542160216,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,17,0.0001472955506130158,0.44188665183904735,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,18,0.00013885777143148576,0.41657331429445726,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,19,0.000131221526511306,0.3936645795339181,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
BNCI2014_001,fixed_uniform_raw_power,fixed,uniform,raw_power,8,1788,20,0.00012425271938713855,0.3727581581614157,,,,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,,,,,,
