dataset,method,sampling,aggregation,update,subject,seed,epoch,raw_gradient_norm,applied_update_norm,uniform_spectral_cosine,paired_uniform_gradient_norm,paired_spectral_gradient_norm,bank_seed,bank_hash,spectral_effective_N,spectral_entropy,spectral_max_weight,spectral_top5_mass,spectral_top10_mass,diagnostic_ms
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,0,0.000873437773411681,2.620313320235043,0.86952548582604,0.000873437773411681,0.002733232323549424,3654,dc1dc33adacb85b74a84909665c762b38e02c737337f33c7525bf5fa36362acd,,,,,,2.7996611315757036
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,1,0.0008309532706257385,2.4928598118772154,,,,3655,67eb549a66518bd76a781a4ac011cfacaacfe2ee0b30e8db0c1675242200b412,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,2,0.0007866530925607331,2.3599592776821994,,,,3657,0e887bc87b7170528de90c8dcd9a15a674082f7490f3d3af20b2b60842efcb79,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,3,0.0006775517484547519,2.0326552453642557,,,,3660,75499020d11575ab8bc6801473b47df5ef5d602c480b3c98c4e814b47d2f0e3c,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,4,0.0005709612198020066,1.7128836594060197,,,,3664,0960d37c7f4e7b7eafbe9dbe030cc24059519ee829b290222e869af82e026c54,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,5,0.0006146294334789529,1.843888300436859,,,,3669,544389856bde841814c88984d97d0222a6d2ae4f0f72b2c92b0e5ffb1449d736,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,6,0.0005554899939689733,1.6664699819069195,,,,3675,6b4413466a54b2e74b00d3ef8268ac1c6814832ac88059cdef7a6ddc60aca4d4,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,7,0.00048084118899646266,1.442523566989388,,,,3682,3e6c433cc7e3b754c33adbedfcddde0445d3264bc299e56ef69a2952ef5c767f,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,8,0.0004434572437908038,1.3303717313724115,,,,3690,5c7c12af0a539a6029f376de19a8596c4e2e8528893049d65e9d9135f5acee1c,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,9,0.00041054429460932797,1.231632883827984,,,,3699,13012093f2a08e4fb4ca13c414c08d29990a6d451bbee88d1221e1f4fd07464c,,,,,,
BNCI2014_001,resampled_uniform_raw_power,resampled,uniform,raw_power,3,3654,10,0.0003885955621244203,1.1657866863732609,,,,3709,49a26848b13370e6b0bc1c0d34333058781f084d4352f82fd4a8e75b2d5f0077,,,,,,
