dataset,method,sampling,aggregation,update,subject,seed,epoch,epochs,N_proj,sigma,d,m,objective_power,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_effective_N,spectral_entropy,spectral_max_weight,spectral_top5_mass,spectral_top10_mass,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,one_time_bank_sampling_ms,one_time_target_projection_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_direct_projection_count,cumulative_direction_draw_count,learning_rate,eta_norm,eta_root,nan,diverged,status
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,0,500,500,0.0,22,253,0.009585455706095446,0.0979053405391935,10.198606317621376,1.0,0.0,0.0,,0.0,0.009585455706095446,0.012217054384110936,0.10797315935296217,0.00016127324901714807,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779409013688564,0.2866010181605816,14.645598130300641,0.964541919529438,14.645598130300641,0,500,,2.793683898093503,,False,False,initial
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,1,500,500,0.0,22,253,0.009585455706095446,0.0979053405391935,9.829517083948748,0.9638098361503662,3.6190163849633854,3.6190163849633854,0.0009312279660311677,2.793683898093503,0.009585455706095446,0.012217054384110936,0.10797315935296217,0.00016127324901714807,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.2828261349350214,0.0,0.8942980784922838,0.05896110087633133,0.47037098556756973,0.19554304890334606,1.9019993487745523,0.6779409013688564,0.2866010181605816,14.118304010480642,2.8665412683039904,28.763902140781283,500,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,2,500,500,0.0,22,253,0.007210753419438932,0.08491615523231685,9.502545288906001,0.9317493972178624,6.8250602782137575,6.8250602782137575,0.000771179340227944,2.793683898093503,0.007210753419438932,0.009116796372107196,0.07956745271664752,0.00013546372298527565,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.24691899307072163,0.0,0.5859080702066422,0.04943180829286575,1.0360381565988064,0.1840139739215374,2.1023110020905733,0.6779409013688564,0.2866010181605816,15.566429123282433,4.968852270394564,44.330331264063716,1000,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,3,500,500,0.0,22,253,0.005270436808742792,0.07259777413077341,9.21522290533831,0.9035766866906163,9.642331330938374,9.642331330938374,0.0006209848202642903,2.793683898093503,0.005270436808742792,0.00657746769297193,0.05541753504196448,0.00010911902462976482,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.2759608905762434,0.0,0.9043880272656679,0.08824514225125313,0.878994120284915,0.28098607435822487,2.4285742547363043,0.6779409013688564,0.2866010181605816,12.23272504284978,7.397426525130868,56.563056306913495,1500,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,4,500,500,0.0,22,253,0.003733134714725738,0.061099383914453166,8.964155472210985,0.8789588687939175,12.104113120608254,12.104113120608254,0.0004836801004373805,2.793683898093503,0.003733134714725738,0.004561835788743049,0.03573269223370555,9.750668008897581e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.2397398930042982,0.0,0.5993677768856287,0.06972183473408222,1.0640968102961779,0.26169116608798504,2.234617481008172,0.6779409013688564,0.2866010181605816,12.246470898389816,9.63204400613904,68.80952720530331,2000,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,5,500,500,0.0,22,253,0.0025577744564715594,0.05057444469760948,8.746130175796283,0.8575809187461749,14.241908125382512,14.241908125382512,0.0003631605938502223,2.7936838980935033,0.0025577744564715594,0.0030246684468093715,0.02068944378994757,9.516619187753956e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.23072795011103153,0.0,0.5698960740119219,0.05049491301178932,0.9797208476811647,0.23820181377232075,2.0690415985882282,0.6779409013688564,0.2866010181605816,13.62361409701407,11.701085604727268,82.43314130231738,2500,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,6,500,500,0.0,22,253,0.0016918326287149261,0.041131893084502276,8.558652135272805,0.8391982069633356,16.080179303666448,16.080179303666448,0.00026334578092289726,2.793683898093503,0.0016918326287149261,0.001909150380030646,0.010940946902507341,7.779393263201936e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.23209699429571629,0.0,0.5733328871428967,0.04998198710381985,0.714738154783845,0.16394094564020634,1.734090968966484,0.6779409013688564,0.2866010181605816,14.406041009351611,13.435176573693752,96.83918231166899,3000,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,7,500,500,0.0,22,253,0.0010737340274463861,0.03276788103381703,8.40023420007472,0.8236649144462622,17.633508555373773,17.633508555373773,0.0001860425524559525,2.793683898093503,0.0010737340274463861,0.001143826930616934,0.007417737449394964,3.771370866061295e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.26202108711004257,0.0,0.6448461208492517,0.05604117177426815,0.5872421897947788,0.21500303409993649,1.7651536036282778,0.6779409013688564,0.2866010181605816,13.653440168127418,15.20033017732203,110.49262247979641,3500,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,8,500,500,0.0,22,253,0.0006431764388413803,0.025360923461920315,8.271832709274882,0.8110748127401122,18.892518725988786,18.892518725988786,0.00012826016859054348,2.793683898093503,0.0006431764388413803,0.0006489207433328844,0.004609990231729281,3.79682485087598e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.2310390118509531,0.0,0.5811951123178005,0.049927039071917534,0.554962083697319,0.1676578540354967,1.584781100973487,0.6779409013688564,0.2866010181605816,13.034622184932232,16.785111278295517,123.52724466472864,4000,500,,2.793683898093503,,False,False,ok
BNCI2014_001,fixed_uniform_normalized_power,fixed,uniform,normalized_power,3,6398,9,500,500,0.0,22,253,0.0003531385805629878,0.01879198181573694,8.1729728275003,0.8013813429957443,19.861865700425568,19.861865700425568,8.479022914065151e-05,2.793683898093503,0.0003531385805629878,0.00034532369015124873,0.002432685344860163,3.1330436449012076e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,4aad719bd1b483a9b8b845309cc5b350aed7c9eb63bee640eda6f359c2d76beb,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.24356995709240437,0.0,0.5965849850326777,0.0496602151542902,0.563435023650527,0.19181286916136742,1.6450630500912666,0.6779409013688564,0.2866010181605816,13.599940109997988,18.430174328386784,137.12718477472663,4500,500,,2.793683898093503,,False,False,ok
