dataset,method,sampling,aggregation,update,subject,seed,epoch,epochs,N_proj,sigma,d,m,objective_power,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_effective_N,spectral_entropy,spectral_max_weight,spectral_top5_mass,spectral_top10_mass,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,one_time_bank_sampling_ms,one_time_target_projection_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_direct_projection_count,cumulative_direction_draw_count,learning_rate,eta_norm,eta_root,nan,diverged,status
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,0,500,500,1.0,22,253,0.023071595799739594,0.15189336983469554,10.198606317621376,1.0,0.0,0.0,,0.0,0.008961731652377552,0.01140091975211193,0.08261370241198362,0.00016453432284836968,188.24073761048203,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,494390cc543f3d8dc09dedd09a92cf001b54a29c3f48da6e7423edf9cac28424,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.937284143641591,0.0,11.937284143641591,0,0,,2.793683898093503,,False,False,initial
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,1,500,500,1.0,22,253,0.023071595799739594,0.15189336983469554,9.871382455210396,0.9679148452033495,3.208515479665054,3.208515479665054,0.0026209039303613985,2.793683898093503,0.008961731652377552,0.01140091975211193,0.08261370241198362,0.00016453432284836968,188.240737610482,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1788,bd0f24e7dfc9db479257333acb1d1d140ca657db3c0a83593d373857e0f00737,full_tensor_sha256,494390cc543f3d8dc09dedd09a92cf001b54a29c3f48da6e7423edf9cac28424,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.25333184748888016,0.23284880444407463,0.24527800269424915,0.5925779696553946,0.15755696222186089,0.6508431397378445,0.1871220301836729,2.3195587564259768,0.0,0.0,13.1988360080868,2.3195587564259768,25.13612015172839,500,500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,2,500,500,1.0,22,253,0.018453788115717115,0.13584472060303673,9.566060410441459,0.9379772208593844,6.202277914061558,6.202277914061558,0.002229285508984721,2.793683898093503,0.007418560991448144,0.008956203045984006,0.0621749565305936,0.00014090556753903812,188.24073761048203,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1789,cf9799963330ced6cf275fc1e781231654a9dd0b2e6c754413ebc3b1d350bebd,three_row_sha256,8cfa736c0328071e65955d364caa7349eb431808c0ed7baa0395376f6c5dba2a,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.24789990857243538,0.229754950851202,0.24026399478316307,0.5987579934298992,0.14168303459882736,0.7050728891044855,0.23984583094716072,2.4032786022871733,0.0,0.0,12.681724037975073,4.72283735871315,37.817844189703465,1000,1000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,3,500,500,1.0,22,253,0.020322819526489958,0.14255812683424945,9.281253006034923,0.9100511106109244,8.994888938907561,8.994888938907561,0.0026024621606059403,2.793683898093503,0.007441932727617498,0.010135915906054671,0.10328150955574136,0.0001569952881117352,188.240737610482,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1791,01a6c3eccb6df756cd3f918ce0e071f04550ab7ee36b1680aa7df9337c9bf1db,three_row_sha256,9ea9352745df07efdfb5fcb20952c11cfbb82bf28fe6f69ee5154c46dfea1f2e,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.3177928738296032,0.2563099842518568,0.25157793425023556,0.7149199955165386,0.1688420306891203,0.7284530438482761,0.21868408657610416,2.6565799489617348,0.0,0.0,12.160989921540022,7.379417307674885,49.978834111243486,1500,1500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,4,500,500,1.0,22,253,0.016188073995398157,0.12723236221731543,9.024380871875636,0.8848641266094478,11.51358733905522,11.51358733905522,0.002295293493805299,2.7936838980935024,0.006148386971099134,0.008030643663606738,0.06210020768562478,0.00012746893118446338,188.240737610482,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1794,b3c22e97c8f20e8421a7cd64815bdcc39842869c7f4e16addfb2d61fc06df0ef,three_row_sha256,034b9c7ae903f42f059bb5cc49f28781a17437329a56667236fcb5fef288aa8e,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.2799208741635084,0.23011094890534878,0.24709198623895645,0.6937370635569096,0.15444890595972538,0.6886869668960571,0.20371796563267708,2.497714711353183,0.0,0.0,12.437874916940928,9.877132019028068,62.416709028184414,2000,2000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,5,500,500,1.0,22,253,0.012586692415157641,0.11219042924936887,8.795290259862066,0.8624011934518317,13.759880654816827,13.759880654816827,0.0019549848595858937,2.793683898093503,0.004941414733971987,0.006224146417535623,0.03924677186306668,8.356316148376748e-05,188.24073761048203,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1798,cfb96e428a932652bea321911e5d8617a1a90b463be25eb92d98c623f96bd44e,three_row_sha256,dafd2176eac64c2734d6eec465453ed817636557217ecbcca7400ea6289b1be1,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.293015968054533,0.229779165238142,0.2488240133970976,0.6944120395928621,0.13983901590108871,0.6364770233631134,0.185282900929451,2.427630126476288,0.0,0.0,13.377840165048838,12.304762145504355,75.79454919323325,2500,2500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,6,500,500,1.0,22,253,0.009601275539699607,0.09798609870639614,8.60706098841993,0.8439448215143338,15.605517848566617,15.605517848566617,0.001760577882284853,2.793683898093503,0.0037095432460200048,0.004716362004797325,0.036524807134798415,0.0001184309480360812,188.24073761048203,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1803,07e89665440ef652084ea9f85cf07bda839f7f0d3e14ebbd7b314a204bba31c6,three_row_sha256,0febbfef003b2dab622f74aae48f211bff2db610c0e6260d16fb08bf34afac51,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.262608053162694,0.2285991795361042,0.24147704243659973,0.6070050876587629,0.1398960594087839,0.7099148351699114,0.1834521535784006,2.3729524109512568,0.0,0.0,12.611732119694352,14.677714556455612,88.4062813129276,3000,3000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,7,500,500,1.0,22,253,0.008213443345995487,0.09062804944384209,8.436523807555316,0.8272232052901685,17.27767947098316,17.27767947098316,0.0016287154530938827,2.793683898093503,0.0032138527146050623,0.003996988872705794,0.030081313548464182,7.631832907538823e-05,188.24073761048203,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1809,c29d0b6a46d65402b9871e1fb92f2a077725b4a18474c533faafb0aaa63a83b5,three_row_sha256,83f4e48ff0ca2235f33730992c935a4ffa2aff65d18ac03ed5cd6af965e1c744,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.2585721667855978,0.23288396187126637,0.2450880128890276,0.6088630761951208,0.14496594667434692,0.6524790078401566,0.19461801275610924,2.3374701850116253,0.0,0.0,10.28273394331336,17.015184741467237,98.68901525624096,3500,3500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,8,500,500,1.0,22,253,0.005864155742959775,0.07657777577704758,8.293923093032136,0.813240832593147,18.67591674068531,18.67591674068531,0.0013222755341934158,2.793683898093503,0.002516963115717346,0.002686855820498394,0.02004724360755789,6.955738893011579e-05,188.24073761048203,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1816,c43374600ca6d91413d297ebbe8300803729b4f37fda11f268664766bb6f61a2,three_row_sha256,6925139f868bcd15f6f29996e3e144cadd90e033ab5b84d1b2235ec179ab3f36,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.2330569550395012,0.22767693735659122,0.2256319858133793,0.5724020302295685,0.14653010293841362,0.7163381669670343,0.22518914192914963,2.3468253202736378,0.0,0.0,11.694558896124363,19.362010061740875,110.38357415236533,4000,4000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_spectral_normalized_power_s1,resampled,spectral,normalized_power,3,1788,9,500,500,1.0,22,253,0.004356871421167205,0.06600660134537457,8.169933688297526,0.8010833474551651,19.8916652544835,19.8916652544835,0.001109389884524644,2.793683898093503,0.0019205660506362047,0.002010159505331505,0.012263640928309744,0.00012622628754242898,188.240737610482,5.716247880429664,0.03017952124818757,0.09236224807369398,0.1459989447547685,1824,8ea168199c9fac26db1a87cbc0fcc5b949b24598662a761f3628db904b5a51b8,three_row_sha256,f060b2ed8688f801ac1a11a59ebd2e79921f6e64902bef4be07a7b050952ba98,8b3956404398690bbe02d2f590fbbfce2ca696f3e3b691ed979e35e9b8276d71,8b10f26c63efc1e7b779523080bc9e1215bab2b21d36db41ba7894df17ba36f1,0.2338639460504055,0.23899204097688198,0.22939499467611313,0.60315802693367,0.13899104669690132,0.6423639133572578,0.1729191280901432,2.259683096781373,0.0,0.0,9.581411955878139,21.62169315852225,119.96498610824347,4500,4500,,2.793683898093503,,False,False,ok
