dataset,method,sampling,aggregation,update,subject,seed,epoch,epochs,N_proj,sigma,d,m,objective_power,rooted_distance,lew,relative_lew,lew_reduction_pct,gap_closure,raw_gradient_norm,applied_update_norm,mean_h,std_h,max_h,min_h,spectral_effective_N,spectral_entropy,spectral_max_weight,spectral_top5_mass,spectral_top10_mass,bank_seed,bank_hash,bank_hash_kind,target_projection_hash,initial_source_hash,target_hash,direction_sampling_ms,source_projection_ms,target_projection_ms,wasserstein_1d_ms,sorting_aggregation_ms,backward_ms,optimizer_update_ms,total_epoch_ms,one_time_bank_sampling_ms,one_time_target_projection_ms,evaluation_ms,cumulative_optimization_ms,cumulative_evaluation_ms,cumulative_direct_projection_count,cumulative_direction_draw_count,learning_rate,eta_norm,eta_root,nan,diverged,status
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,0,500,500,0.0,22,253,0.0045735860696544456,0.06762829341077924,7.00240537723237,1.0,0.0,0.0,,0.0,0.0045735860696544456,0.005801917333588886,0.04948639845906723,5.848081696263883e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,a14f722cf770d8f4c7b7788547236b65c63a242d714137e51ca7342721f16d1c,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.781188029795885,0.0,10.781188029795885,0,0,,2.793683898093503,,False,False,initial
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,1,500,500,0.0,22,253,0.0045735860696544456,0.06762829341077924,6.756749741238914,0.9649183926437362,3.50816073562638,3.50816073562638,0.0006157676868086306,2.793683898093503,0.0045735860696544456,0.005801917333588886,0.04948639845906723,5.848081696263883e-05,,,,,,6398,2b1b45e4e4a812f6d748c2c175962332f0dbca2acd50b6a4d146c963428b0e9a,full_tensor_sha256,a14f722cf770d8f4c7b7788547236b65c63a242d714137e51ca7342721f16d1c,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.2638879232108593,0.2411138266324997,0.2432740293443203,0.5864710547029972,0.053696101531386375,0.6209269631654024,0.1829001121222973,2.1922700107097626,0.0,0.0,10.778042022138834,2.1922700107097626,21.55923005193472,500,500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,2,500,500,0.0,22,253,0.0036544164053400065,0.06045176924904685,6.544493752361656,0.9346065244437906,6.539347555620942,6.539347555620942,0.0005464410433142569,2.793683898093503,0.0036544164053400065,0.004389758748074932,0.027264404744424174,8.230318327504405e-05,,,,,,6399,4c59c11f613225d31f7f98b61959e7575c5511f9a749fff71a191e3208a8cae1,three_row_sha256,79f78a4a4c230b75f88b505779f80c8165e8b365a4e454dc972ee32f5206cda3,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.23162108846008778,0.2333219163119793,0.224672956392169,0.7004039362072945,0.05832500755786896,0.8114760275930166,0.21527288481593132,2.4750938173383474,0.0,0.0,11.13112410530448,4.66736382804811,32.6903541572392,1000,1000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,3,500,500,0.0,22,253,0.002957115204260603,0.05437936377212042,6.365160567925848,0.9089962984179035,9.100370158209646,9.100370158209646,0.0005018006611728831,2.793683898093503,0.002957115204260603,0.0034921008310047795,0.020280023540320203,9.347623689782224e-05,,,,,,6401,87d6859fa43dbc057c7206d96a4af671689812819a7e9b4870a4260850be388e,three_row_sha256,2b2baff2de5dc98ed8d3d429b0b4b0a5efb1d4e6935b733ff273b8ebd80d1ca8,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.4834651481360197,0.22495188750326633,0.23441389203071594,0.5754940211772919,0.05020597018301487,0.5887991283088923,0.17790589481592178,2.3352359421551228,0.0,0.0,10.115840937942266,7.002599770203233,42.806195095181465,1500,1500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,4,500,500,0.0,22,253,0.002020384028595522,0.044948682167506554,6.2205418267597725,0.888343575049975,11.1656424950025,11.1656424950025,0.00039821675728657065,2.793683898093503,0.002020384028595522,0.002525731682227458,0.019022274641180868,9.259943741081689e-05,,,,,,6404,25e4bdd77bc6f0e59a3b5e133be99511971c9ed954f20e34384eb96524116bd9,three_row_sha256,8b984c286e6dc0b5fa303fc41799706383d7f6ac3278aa9e949a1895e135df64,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.23326301015913486,0.22625806741416454,0.23088883608579636,0.5941970739513636,0.04903087392449379,0.7537959609180689,0.17159082926809788,2.25902465172112,0.0,0.0,10.400209110230207,9.261624421924353,53.20640420541167,2000,2000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,5,500,500,0.0,22,253,0.0013885198470254133,0.037262848079896056,6.11051284512149,0.8726305484954098,12.736945150459022,12.736945150459022,0.00031182597040447374,2.793683898093503,0.0013885198470254133,0.0015049327029300426,0.011126023866283453,0.00013555294522160497,,,,,,6408,83856b747164a8dd88eeaffee92426f6aa5d3532691bd1b4a78641b2c71350bf,three_row_sha256,62f1a2da050be58de7277739488a2b08ca0181ce4bf9eaec4ac412b6c8e694c6,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.22396794520318508,0.2210389357060194,0.22064894437789917,0.5544100422412157,0.04837196320295334,0.9372660424560308,0.16732909716665745,2.373032970353961,0.0,0.0,9.338137926533818,11.634657392278314,62.54454213194549,2500,2500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,6,500,500,0.0,22,253,0.0009100060006049986,0.030166305716892126,6.036727049911433,0.862093341459387,13.790665854061302,13.790665854061302,0.00023850474168638086,2.793683898093503,0.0009100060006049986,0.000829772813936416,0.005495533562770074,8.031241335196519e-05,,,,,,6413,47e2c18e24dc57072a8f0abfa7530ba5db6404455691bacc23a60497d1cce59c,three_row_sha256,632c62bfb2b9bb6d87e141db6d36f0cee4073192e64e01066ffbf4434b355e6b,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.22032298147678375,0.2204559277743101,0.22086803801357746,0.5485250148922205,0.048489077016711235,0.5857220385223627,0.1652888022363186,2.0096718799322844,0.0,0.0,9.154409868642688,13.644329272210598,71.69895200058818,3000,3000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,7,500,500,0.0,22,253,0.0006542611267710974,0.025578528627954684,5.984443961541937,0.8546268944953924,14.53731055046076,14.53731055046076,0.00020498075820388304,2.793683898093503,0.0006542611267710974,0.0005278750124255242,0.0038676420310839424,6.499671856253723e-05,,,,,,6419,5868f6515297be1334f553f9df365ab632d5ef8edf639fb4a7317aedf2fb04dc,three_row_sha256,648f6cc97e1f91c7783cb154fbc472bdc486844129634c8d859f7871bb8cfb00,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.22745691239833832,0.2238689921796322,0.22917985916137695,0.5598769057542086,0.04875287413597107,0.6211469881236553,0.17464905977249146,2.084931591525674,0.0,0.0,11.634432943537831,15.729260863736272,83.33338494412601,3500,3500,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,8,500,500,0.0,22,253,0.000461490178183523,0.02148232245786109,5.940353642867521,0.8483304411626889,15.16695588373112,15.16695588373112,0.00015312876909643838,2.793683898093503,0.000461490178183523,0.0003190580856517798,0.002042129561081154,7.911086771636407e-05,,,,,,6426,ab892f114bac21ab0e3c01a4b00e88116c16f5bb1d8ebcdb4502f1ef3d2251f9,three_row_sha256,dbf114762b84c300d0b3b60949e4a5c1563d869379fedada8bc5a34f4341666b,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.2491339109838009,0.22860500030219555,0.24697999469935894,0.5816549528390169,0.06419909186661243,0.6794321816414595,0.18202094361186028,2.2320260759443045,0.0,0.0,9.326091036200523,17.961286939680576,92.65947598032653,4000,4000,,2.793683898093503,,False,False,ok
BNCI2014_001,resampled_uniform_normalized_power,resampled,uniform,normalized_power,1,6398,9,500,500,0.0,22,253,0.0003558816514506442,0.0188648257731325,5.915158002651656,0.8447323004012603,15.52676995987396,15.52676995987396,0.00011743442459223328,2.793683898093503,0.0003558816514506442,0.00018372822333155795,0.0010900959074547532,6.44604168120965e-05,,,,,,6434,5fe6a64c4486fd7e681b8b1ddd6ef9591e6a2da3d152d762c40cbac10dffe005,three_row_sha256,d7b9d2ff4f283ee331409233eee337b72c7d838e13e5958a204f79629931a492,944f93c6fa033d604d9e90219484c40564bfebf4e3306a041f5ec522a76c0b9b,0f2cf9a67445117338a1c28f1312c232b1cbb8285fc218b4057ed38b092a75be,0.22203894332051277,0.22375700064003468,0.22505410015583038,0.5563679151237011,0.04771002568304539,0.5583569873124361,0.16153696924448013,1.9948219414800406,0.0,0.0,10.437281103804708,19.956108881160617,103.09675708413124,4500,4500,,2.793683898093503,,False,False,ok
